model,log likelihood,R2 coefficient,normality pearson p-value,normality shapiro p-value,homocedasticity levene p-value,homocedasticity bartlett p-value
linear,-8.059145472754803,0.5570921432468792,,0.9990663528442383,,
poly2,-8.059145472753626,0.5570921432472273,,0.9990663528442383,,
poly3,-8.059145472753817,0.5570921432471704,,0.9999986886978149,,
exp,-8.059145472754391,0.5570921432470007,,0.9999986886978149,,
log,-8.059145472753617,0.5570921432472301,,0.9999986886978149,,
power,-8.059145472753553,0.5570921432472489,,0.9999986886978149,,
hmult,-9.258597841791524,0.01465024161262829,,0.596625566482544,,
