train set,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
gov,flores,7.627720610372979,-8.022480746347316e-10,0.002103376739206364,-0.002554485054540677,-0.010525566671919676,6.148026260673489,5.781704712376107
gov,bible,0.0,0.0,0.0,0.0,0.0,2.271685619876913,2.271685619876913
gov,gov,30.21483613680256,5.665795473176113e-05,-3.583265464998674e-09,-1.2513460118169238e-08,3.036769742278004e-06,10.089658322815604,10.201306718482227
bible,flores,0.0,0.0,0.0,0.0,0.0,2.2374092160353682,2.2374092160353682
bible,bible,23.681717248635884,0.009722790087111688,-1.1563067884453917e-09,-3.7967128645692905e-05,-0.0025112897185289385,7.334491419877282,7.614438172278561
bible,gov,0.0,0.0,0.0,0.0,0.0,1.3576941236277535,1.3576941236277535
