train set size,language to,c0,c1,rmse,kfold rmse
1,ka,16.565805636937238,-32.230919913887035,1.25575879585722,1.3135474642197498
1,gu,26.06774528166942,-45.89913897153346,3.285574581759289,3.6668817033377152
1,hi,26.234650030309393,-48.741468120633385,1.5802157844124762,1.7426290064540002
1,si,29.866307529582578,-52.741951333399406,1.8752679014423463,1.9564778635907778
1,ta,23.166238455748,-41.438883690170655,2.3014841599281284,2.482973959580612
10,ka,34.873472498289544,-66.36902056238915,3.0207599379636645,3.3439446598627054
10,gu,37.93668628628934,-66.21457446597618,4.339009400561856,4.817106208989202
10,hi,38.51529362517406,-70.83770124986951,2.578593020250685,2.8352102401058055
10,si,46.40730298908242,-84.24242175776168,3.6509093291371233,3.8908623333535446
10,ta,36.49018912318295,-65.89078091120751,3.4671102203984163,3.7521558925038967
25,ka,39.51107238078104,-74.9201692532151,3.04340489800207,3.3704497788224868
25,gu,42.3222403289305,-73.37339182364383,4.680540548331112,5.19044366482269
25,hi,42.87460007120526,-78.82500927826375,2.4797710600451968,2.7165481440445163
25,si,51.903719977749134,-94.36532313672781,3.9879329884507317,4.24489615811743
25,ta,40.72009795376708,-73.10916809147457,3.3223544943300976,3.5724658315406885
50,hi,49.05270882848789,-88.35144757939739,0.32614489723809104,0.6660385035250326
50,si,57.17108661702634,-100.20303922951236,3.4966042705344766,7.550689133724738
50,ta,47.20865686703957,-82.08967928432942,2.5798808436544824,5.533328170779782
