,pareto,rawlsian,mean,min,25%,50%,75%,max
linear,False,False,3.761156935560199,0.0797213307747306,1.5092461904544383,2.4947039709466736,3.947084424959101,23.110290702501125
poly2,True,False,3.437784418365018,0.1906451029816046,1.0716402550353932,1.7699137824344398,2.6363619984448894,25.18937546357152
poly3,True,False,3.5284330793440137,0.3156872369100988,1.038402314626734,1.790271514371953,2.6419514343217365,26.397940493508266
exp,False,False,4.139925376974914,0.1813775420688992,1.1868721836273015,2.5407057577536856,3.86243626123595,35.39886976270777
log,True,False,3.4189923861122953,0.0683289636175102,1.3747021172006237,2.4660294444578525,3.895351153966957,19.11293275391052
power,True,False,3.6425333322606552,0.0029224722846671,1.146915831685686,2.520863754174286,3.807003862337897,26.67169308417132
mult,True,False,3.6425333322606552,0.0029224722846671,1.146915831685686,2.520863754174286,3.807003862337897,26.67169308417132
hybrid_mult,True,True,2.452413719091572,0.5273594866321117,1.1240909976774303,2.3548506561140368,3.612115304740917,5.70722619982819
am,False,False,3.761156935560199,0.0797213307747306,1.5092461904544383,2.4947039709466736,3.947084424959101,23.110290702501125
gm,False,False,3.761156935560199,0.0797213307747306,1.5092461904544383,2.4947039709466736,3.947084424959101,23.110290702501125
hm,False,False,3.7611569357935952,0.0797213307747306,1.5092461919020193,2.4947039585071837,3.9470844193489145,23.11029070250113
