train set size,test set,c0,"c1,1","c1,2","c2,1","c2,2","c3,1","c3,2","c4,1","c4,2","c5,1","c5,2","c6,1","c6,2",rmse,kfold rmse
1,flores,14.405489953819693,4.236830761642681,0.3387490186925922,3.1226311805860427,-0.3664593515011667,3.0317123516920983,0.3285629805542271,-1.5053889018014155,-8.588350333138276,0.717364634526923,-11.602460474025913,-4.127946349195009,-4.618808230911346,1.9336493994962651,2.1131319221011724
1,bible,9.696157183863876,6.483009305892927,4.221815011052339,6.797542433568038,4.372907291530075,2.843027321054502,0.8678701212320499,0.19499196267721877,-2.41667815567373,-3.8700787847170117,-16.081769321966505,15.63836680483571,9.783752898315456,8.257481456357242,9.040762676209882
1,gov,11.901899343777835,7.983448101587442,5.21093594405538,7.236802290046702,4.279147263087316,7.9902533398787785,5.414320090429606,-1.5893648822412605,-5.954564453202161,-4.025623890345024,-18.363664279007295,14.02459993194278,8.38908885932008,9.419633751041394,10.314695871558152
10,flores,26.989217308479244,4.241267551413717,-3.4313180231869365,1.1462608077734047,-5.328807926430977,-1.0926171141271916,-6.012699733617345,1.9849658590034487,-11.383303152485162,7.746501388737015,-9.57205019115444,-27.236371151969376,-22.304062103854537,4.97161945454783,5.441188958330559
10,bible,12.217529412622898,6.880720861907722,3.903471424210017,7.20157821634024,4.15848214880519,-0.2278894001770807,-2.6481991685949193,3.1641510536410227,0.3459652429170156,-2.0320108382172943,-14.857275725953055,13.928390356481101,8.284700506086812,12.975669539580153,14.208341368879356
10,gov,9.848526260735984,6.753438301492659,4.474316819133563,5.247971498754948,2.789596432853648,0.05949534096123949,-2.1976019012552768,6.935719186096365,5.88014482225043,-0.8823262264454952,-10.542211293877974,6.461329049381386,3.3400231079735234,16.84818981429045,18.45228425558077
25,flores,30.221826243137468,4.686089861526056,-3.9117345986273717,1.0341474084229436,-6.213197664915989,-1.1653552476321463,-6.695246372741895,2.5317833545876143,-12.440923419413524,9.04623932229411,-10.012154595104866,-31.706008011207786,-25.82177143348802,6.03941222312098,6.6102449248192325
25,bible,12.7513354795379,7.442743891915688,4.358920206656343,8.146094743881081,4.95980679137492,0.5448785266840711,-1.974821884064779,2.607053585987755,-0.38948451867797657,-2.1456540366005865,-15.555637451482076,17.291218571696415,10.57165737956767,14.80775134868317,16.215413776796773
25,gov,11.003998230010753,7.233451308100275,4.656139654680542,4.8531364264384385,2.120211055184218,-1.4161372772255432,-3.983968721832131,9.73080610577351,8.889957329753864,-0.32359744377819616,-10.516529980226675,2.4650192398164568,0.4030085847872746,18.6996666140246,20.47966497820473
50,flores,18.49557947528948,-1.3513376464379687,-7.035151454351857,5.248033784060937,0.7483142003982187,-11.930824749352016,-14.105878888111288,-4.314274324611339,-13.832828570037709,9.629329277707402,1.6497239073609486,7.398220338440902,2.959299428899858,8.160474390383112e-07,3.2085767230999243
50,bible,3.8755965884574195,-0.6155670308559072,-1.8398035447596879,1.0026026698968085,0.06303566466492742,-2.3900250605306956,-2.796361389758297,-1.6869746285916325,-3.9893674107414676,2.2340125500728685,0.7565878372912583,1.5502378379220363,0.6200953212552246,8.073458310577522e-06,0.7593223391663805
50,gov,10.654309990927537,10.724387356226362,8.600507858367026,6.436445635398611,3.7295141196205206,-6.994490931310837,-10.028845280417686,22.961886564120267,27.325406977980123,0.4155500067041309,-8.799318451288116,4.261673730958228,1.7046670254416545,3.154634344445953e-06,3.9575283282097815
