train set,c0,"c1,1","c1,2","c2,1","c2,2","c3,1","c3,2","c4,1","c4,2","c5,1","c5,2","c6,1","c6,2",rmse,kfold rmse
gov,14.428865623365969,3.8565471478247577,-0.012670744686904581,1.2080890004964046e-07,0.00980862948613739,-0.003459806315180488,0.04070631760199246,3.8869338776518947,-0.012499341097123872,0.007821220955113452,-4.650642849138745,-0.011449746115919987,0.003370324940591546,14.425864434143849,14.44511115925926
bible,5.687202223650756,1.511506356637519,1.799061276800009e-06,1.1902406496958592e-06,7.322347994830497e-07,-2.5899073557083523e-07,-4.330616319645076e-06,3.214622135213404,1.6214482937990295,6.183954198802888e-08,-5.745044827021558e-06,2.7079984861249285e-05,1.9437439101998067e-07,12.00672014491388,12.018074676214248
