train set 1 size,train set 2,train set 2 size,language to,c0,c1,rmse,kfold rmse
25,gov,1,ka,4.651343741277985,1.325069537361924,6.990296274373988,7.3415369507042145
25,gov,1,gu,7.938403316731704,1.1230114813292729,8.03691626111394,8.47584231551494
25,gov,1,hi,3.3394144719472934,2.810657129396851,6.991224609377354,7.442219368555073
25,gov,1,si,5.54799213724919,1.5115470929037813,10.115307512884213,10.73814276170812
25,gov,1,ta,0.47044030218816857,6.483483504773221,7.886793638098784,9.007261890337455
25,gov,10,ka,9.62886015784902,1.0967577875011159,11.030877866031474,11.477576080590474
25,gov,10,gu,14.603370625726123,0.7690628100252419,10.972518847328917,11.523323645054868
25,gov,10,hi,8.59488827930176,1.8775438966978182,9.998085034563847,10.680582705791391
25,gov,10,si,13.543494433584291,0.8548630159620009,16.104243348639013,17.250941350407594
25,gov,10,ta,1.999962085294224,4.641663769333443,11.918420526263013,13.486169271463325
25,gov,25,ka,10.437227279457924,1.171920555838051,12.256927608007333,12.747407100134138
25,gov,25,gu,15.72561708687003,0.8166012540920341,11.911642152197373,12.493669523111572
25,gov,25,hi,9.353000560471184,1.8883423497091898,10.691889529755962,11.37598921500223
25,gov,25,si,15.837001914446436,0.7737801703365962,17.793714074116373,19.09247477716249
25,gov,25,ta,2.7194785451197108,4.274130699361557,13.000737573566912,14.696616366510261
25,gov,50,hi,9.936400156157287,1.8905537780903416,11.07195225619089,11.714984521924459
25,gov,50,si,16.595609332052764,0.8134078930366678,18.85551441130706,20.194098311085263
25,gov,50,ta,3.8158648282094756,3.7520779053980835,13.597353628297041,15.244226390257339
25,bible,1,ka,0.04752413415918301,9.872198208377078,4.453527000174185,4.453844712757887
25,bible,1,gu,0.050271456506809205,10.825605198402284,2.6471854358614695,2.6522485308202595
25,bible,1,hi,0.08354102215104604,10.643835712179406,4.344926003099613,4.3459821711842785
25,bible,1,si,0.02705457532037208,11.698753250479092,3.2446578079336548,3.24469013088218
25,bible,1,ta,0.21127977069408185,7.693234945651902,4.8914503273664245,4.891677435206517
25,bible,10,ka,0.060143590189299254,10.323390412027305,6.670622233588691,6.671084704527473
25,bible,10,gu,0.15013004552152506,9.48112754413757,4.564367009127186,4.595660765452271
25,bible,10,hi,0.11776751571798683,10.727429462854431,6.459762839729381,6.461496805119957
25,bible,10,si,0.047224547225989316,11.459024901660396,5.10042365023074,5.100937818436922
25,bible,10,ta,0.3707874807732224,7.482591469758681,7.663601455748885,7.667220790520583
25,bible,25,ka,0.06344495391697767,10.50878854357155,7.644481217164537,7.644781425474933
25,bible,25,gu,0.15812237890581027,9.645416597368465,5.150708099044188,5.18283879982203
25,bible,25,hi,0.11926132868059218,10.978700940125826,7.380179335026653,7.382113559340726
25,bible,25,si,0.053419780330692286,11.408276490512717,5.810731857129857,5.811212857173017
25,bible,25,ta,0.43865392459568686,7.440811660723312,8.74817422933504,8.752634968330431
100,gov,1,ka,125.33107588455935,-5.852878369962579,6.81930114080186,8.910660586434645
100,gov,1,gu,71.53727480861247,-3.8561751157926407,8.091181902027177,10.30929438184058
100,gov,1,hi,143.36956058508187,-6.176165800936846,7.643310594061805,9.806005363271185
100,gov,1,si,999.9999999999997,-11.36223209649599,4.584891908840778,8.32736145505209
100,gov,1,ta,157.91593394754534,-7.096976670226838,8.856454832786207,11.442412171633265
100,gov,10,ka,244.65634637495745,-6.245876869616793,9.581626835369379,12.461061569837241
100,gov,10,gu,138.42726903597105,-4.397777930106684,10.393771111913699,13.416688908491146
