train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3",rmse,loo rmse
cc_align,25,gov,1,flores,179.01061709053118,-74.64536573236828,-109.71553254864924,-86.80511477813872,105.8830203280461,-25.32434075080685,-84.34147250127212,-272.2077400263923,-75.50025796729471,268.659039766337,1.1034496593933344e-07,4.275103986580073
cc_align,25,gov,1,bible,40.81500274511684,-24.16183919231676,-32.355308558316345,-25.535258229028003,25.042351987979252,-4.050711117533043,-17.482576014202305,-53.84520583914698,-15.046980528537615,54.62824009393416,7.060134930267447e-07,1.0493867053109105
cc_align,25,gov,1,gov,198.48479387942595,-17.177626343404565,-55.574185055481564,-46.40087269188778,132.2111176684639,-30.761868557130164,-106.84915549396861,-396.989938543145,-101.10001342643089,390.0104572841756,6.020943862480392e-07,4.146973462919979
cc_align,25,gov,10,flores,188.5296630250005,-133.4090706984237,-171.1162515401748,-133.5761727607329,96.1971692941731,-22.681590023491957,-73.35734944456792,-181.37338357816193,-53.8430725698922,193.78153038103312,6.147850974320738e-07,4.902890491809669
cc_align,25,gov,10,bible,60.53452393291575,-8.093053787804825,-20.0596311830913,-16.753146204795897,40.719038614279576,-7.494676289859497,-30.336694077552252,-117.12497776320156,-33.97009340208836,107.31160833614628,6.307710727202754e-07,1.2588456170290678
cc_align,25,gov,10,gov,165.94687978894444,-4.125424118686641,-36.56563797611562,-31.624809654886366,104.0389497064523,-30.680979451606117,-92.18714066827711,-322.86908352673106,-75.27231273992396,332.46883670523647,6.702127519239407e-07,3.2979931997094867
cc_align,25,gov,25,flores,176.4425413205181,-140.01455415803326,-175.59293847436842,-136.79397505376426,84.79661905601783,-20.39853606250656,-64.15060446082461,-137.74101957760877,-42.686662502074306,154.0481063320713,1.6261599096105806e-07,4.683772230891471
cc_align,25,gov,25,bible,62.31365732017704,-11.176759026361637,-23.50216332340701,-19.38276771042008,42.20795199579373,-6.819327497086883,-30.146977523258688,-116.4621650134195,-33.882357206904,107.16934453249617,6.444477701671753e-07,1.3240349419584376
cc_align,25,gov,25,gov,161.04836154008112,-6.31265905337746,-37.86118908867225,-32.52525886026879,99.76685880099355,-30.002406795421734,-89.0072373328362,-305.2672251886529,-68.54148205273609,320.92762526846866,9.209911571391458e-08,3.216884530429449
cc_align,25,gov,50,flores,24.46134612677015,8.218117453945728,1.962634641390996,-0.29041578999021656,-5.460740190890557,-9.634250937280878,-7.836682724132519,1.2300917892783425,-9.266441146992422,-13.070411224337123,9.395408571788375e-09,2.035181816818924
cc_align,25,gov,50,bible,4.382327279102794,1.2661775225846055,-0.06505775108344611,-0.6248822219712502,1.6488743892314452,0.5593615128059064,-0.014900211602997905,-0.1653308661694426,-2.409569509775662,-3.369269912026667,4.479108788602009e-08,0.39156805297686326
cc_align,25,gov,50,gov,14.634372358458359,6.991609670468782,3.070926956364896,1.067330264623635,-6.057835252590541,-9.8114968385882,-8.521044328650529,18.993129732715435,19.85696613651577,18.84274598537376,1.6700385816151252e-08,3.4019478327300976
cc_align,25,bible,1,flores,51.21262905908227,-12.273842672491767,-22.41571795983785,-18.28599838525449,33.55441554399589,-6.707695686401432,-25.59584885874664,-93.19342662523722,-26.24802582226632,87.94257755329991,1.0122667115622174e-06,1.133835279677567
cc_align,25,bible,1,bible,183.20102299373815,32.542952596074485,-2.6915043353393724,-6.340029993198526,124.48595941090628,-36.651061859659464,-111.8977389586205,-437.15071787007554,-112.77601678851515,415.2565683775231,5.126628995303568e-07,3.3487382278823246
