train set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3","c4,1","c4,2","c4,3","c5,1","c5,2","c5,3","c6,1","c6,2","c6,3",rmse,kfold rmse
gov,13.08351626070003,6.070333268553728,2.754813774197419,1.2131969671459943,5.961674174207875,2.726318060205146,1.2554409636083423,3.4428955827928807,0.7770757866895496,0.10359972820046982,2.467139186973001,-1.9279328077230338,-3.314690851403501,3.7289533059913977,-4.685394221076629,-12.262848766713152,7.215486383216689,3.4802194027528532,1.571893287774865,14.373594581841584,14.423404183704445
bible,5.64139811248265,3.2924681880820836,1.926790678300696,1.135010728645678,4.002480248376457,2.5820966150024,1.5779233516354862,1.000425376640203,-0.1285973043964466,-0.2971540432979634,1.306829344711937,-0.0009977428728399765,-0.09812025906134196,1.1037994356014569,-2.9846882685328944,-6.659807526736592,9.114894863735733,5.69964862014946,2.898566331485383,11.967674618176188,11.996031285053398
