model,none,train,test,train+test
linear,13.701551204513638,13.24912899105,12.004104887343859,3.984798726813464
poly2,13.688482665613288,13.231592917736755,11.968131194946205,3.8886534963534753
poly3,13.656620918481526,13.213833703757345,11.933951958303902,3.8546487866972483
exp,13.650138195671088,13.212621874884062,11.930352506589154,3.816337433525113
log,13.701408290748612,13.24024572505212,11.961483752533113,3.836744899459012
power,13.654919212065124,13.218363518511993,11.943782336677307,3.8742985256223146
mult,13.64726895394402,13.212892683596701,11.902803474408202,3.6716737842287586
hmult,13.647896195417925,13.21852543452105,11.902198932587199,3.684054407976282
am,13.71158888324715,13.258056047345669,12.042695555526029,4.1700051005011955
gm,13.711554360812082,13.25789123901538,12.038707257798853,4.1608246750891995
hm,13.711581720094042,13.257882046823603,12.035989219113032,4.152728445729043
