model,mean,min,25%,50%,75%,max
linear,4.892660349246923,4.892660349246923,4.892660349246923,4.892660349246923,4.892660349246923,4.892660349246923
poly2,4.892110668378621,4.892110668378621,4.892110668378621,4.892110668378621,4.892110668378621,4.892110668378621
poly3,4.895698765552583,4.895698765552583,4.895698765552583,4.895698765552583,4.895698765552583,4.895698765552583
exp,4.872123588446438,4.872123588446438,4.872123588446438,4.872123588446438,4.872123588446438,4.872123588446438
log,4.952939614798247,4.952939614798247,4.952939614798247,4.952939614798247,4.952939614798247,4.952939614798247
power,6.626523851434532,6.626523851434532,6.626523851434532,6.626523851434532,6.626523851434532,6.626523851434532
mult,6.101601642386543,6.101601642386543,6.101601642386543,6.101601642386543,6.101601642386543,6.101601642386543
hmult,6.8814161213782326,6.8814161213782326,6.8814161213782326,6.8814161213782326,6.8814161213782326,6.8814161213782326
am,13.23222462264577,13.23222462264577,13.23222462264577,13.23222462264577,13.23222462264577,13.23222462264577
gm,13.360559561589811,13.360559561589811,13.360559561589811,13.360559561589811,13.360559561589811,13.360559561589811
hm,13.31931609750977,13.31931609750977,13.31931609750977,13.31931609750977,13.31931609750977,13.31931609750977
diff,4.696544558939013,4.696544558939013,4.696544558939013,4.696544558939013,4.696544558939013,4.696544558939013
