language to,c0,"c1,1","c1,2",rmse,kfold rmse
ka,-1.2552908842882876e-09,1.4675083424610187,-0.036767740643684606,10.903776594722627,10.889520192972741
gu,1.5627118980755344e-06,1.9161694990396019,-0.05037005583684045,12.098403295719322,12.212141033405056
hi,0.4684877116699753,1.0354287689623485,-0.01337763001087255,12.85537281210434,12.85274804746944
si,0.5205123810956295,1.122042508489577,-0.014591591855169127,16.997340363613002,17.03347988946188
ta,-2.910946698506632e-10,0.9245898314514424,-0.011616600109314465,13.913428979776487,13.942040293999442
