model,log likelihood,R2 coefficient,normality pearson p-value,normality shapiro p-value,homocedasticity levene p-value,homocedasticity bartlett p-value
linear,-0.4339902026962569,0.8974118786243082,,0.28797096014022827,,
poly2,41.571233814072656,0.9999999999999293,,0.7521241307258606,,
poly3,35.29341131508754,0.9999999999953554,,0.9973611235618591,,
exp,0.8282816139953414,0.9557786543614613,,0.7088546752929688,,
log,-0.09951357084967005,0.9179164419752531,,0.35570934414863586,,
power,1.2315495824563802,0.9662033294499637,,0.7410735487937927,,
hmult,0.9067006599413625,0.9580311262834915,,0.588435709476471,,
