train set,train set size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,1,flores,95.63368084095775,-481.83123464306385,999.9998159881169,-812.1583934637571,1.8803147087586949,1.9243472590048563
gov,1,bible,-291.8913978219091,999.9999999999994,-331.16426216727433,-999.9999999993169,0.638447223949932,0.6422673839588791
gov,1,gov,298.30292900007987,-999.999999999998,389.0489652202727,999.9999999984091,3.542112308615679,3.619870719182766
gov,10,flores,-236.3343831411555,999.9999999999993,-521.4449428509462,-999.9999999998877,1.6848711826913996,1.7804946961958454
gov,10,bible,-281.4484643735704,999.9999999999969,-370.5684761007448,-999.9999999999604,0.8076431534163684,0.8088538585728869
gov,10,gov,-312.8711200039353,999.9999999999799,-96.52432965247368,-999.9999999683588,2.5607717390702676,3.6121957201767607
gov,25,flores,-228.1770482014673,999.999999999986,-545.8717795376817,-999.9999999952182,2.0107202087905445,2.1154313439773866
gov,25,bible,-280.31720108888476,999.999999860822,-373.436392211797,-999.9999999990422,1.0037101646313926,1.0094191455268489
gov,25,gov,-316.4934366097264,999.9999999999986,-64.7276526558947,-999.9999999953432,3.1185525589472736,4.499515283791145
gov,50,flores,-228.25512753142743,999.9999962931038,-539.5033438649656,-999.9999854883367,0.13573440076567128,0.27728791866542474
gov,50,bible,302.9756141167228,-998.6249654491453,395.58826666944356,791.936740922807,0.048710700610393856,0.14798007036990476
gov,50,gov,-317.99796330299966,999.9944979375724,-48.304703856822464,-999.9376097912901,3.748247946486184,5.594184501199709
bible,1,flores,27.608167753944514,-315.44816326800554,999.999999612587,-952.5524983622926,0.48521722098485565,0.4858841866520011
bible,1,bible,295.10919717646084,-999.9999999999999,393.63639488350543,999.999999998967,2.749428953920401,3.232664451987674
bible,1,gov,79.71230947723748,-478.53392969255776,999.9999998202286,-720.7218309355202,0.29799117083301635,0.29913499638314783
bible,10,flores,-289.5293676154532,999.9999999999994,-335.0181109917517,-999.9999999997233,0.6351115182592546,0.6351279939585295
bible,10,bible,292.42342622256024,-999.9999999999994,450.48419153671233,999.9999999999171,2.9236533884070903,3.7863814220944367
bible,10,gov,-158.78969214035723,455.1202430872296,228.01878447531092,-999.9999991826435,0.5144925700131644,0.5148478948597095
bible,25,flores,-288.7883038416519,999.9999999999972,-336.73162251509734,-999.9999999999776,0.6485392798841847,0.6520452379627392
bible,25,bible,293.06665328761756,-999.9999999999991,465.3384139303191,999.9999999919975,2.9703391755835984,3.7690805577450135
bible,25,gov,-290.1600224481515,999.9999999994116,-335.74162409378243,-999.9999999998969,0.5997182554334478,0.5998674665320938
