train set size,test set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
1,flores,2238.9183072595056,5.9999806819957175,5.999993218888983,-0.1951150437032239,-7.03435924681413,-7.781132940094551,-2.262974346538842,1.933649411954779,2.1102360542640795
1,bible,10.977395684475747,3.7206296940288293,3.532347766106889,-0.2892783082366268,-1.8644007585761064,-3.6581004142963356,2.1581977593025994,8.257481456821633,8.92053693129342
1,gov,13.986573611597303,4.160795439630054,3.8478081553849055,0.7054789584646788,-2.7226021374329785,-4.0976432543695145,2.1704929343395127,9.419633750953565,10.146404869266734
10,flores,62.67994866281616,5.674951850037597,5.768186847916305,-3.7991616583242367,-4.882311745255056,0.14513605190745535,-8.707728514833379,4.9716194555483195,5.436246193849335
10,bible,23.160607529170992,1.1129754358117996,0.8807970734852762,-0.2400487450899836,-0.0043796142149977344,-2.0151018880690783,1.3278524294469536,12.97566953959242,14.053377249551698
10,gov,13.925837199899858,0.9084515141189916,0.5651749979817439,-0.13995891596830792,0.6247679905407967,-1.1562218150827885,0.5160452173333703,16.8481898138571,18.191793395944536
25,flores,76.08951827806604,4.670550676050055,4.843017792406553,-3.2232910975275857,-4.207578619866608,0.16776217864741066,-8.012697061649057,6.039412223058806,6.588177661317305
25,bible,24.2110507271926,0.9405643843577071,0.753230244178233,-0.08732366155493036,-0.040904513373361234,-1.8489943449808746,1.482768310966053,14.807751348688177,16.042025453169906
25,gov,14.791552514669695,0.8480547658042404,0.45119439812969064,-0.2757734584800156,0.8970722364474203,-1.00605043396981,0.16816349426904725,18.699665772919097,20.206668181080218
50,flores,28.6588350321123,-0.657916871239038,0.39256036981896103,-1.7512478920246453,-1.3716510460036662,0.9253026263359451,0.7794137541846519,7.901545742068044e-07,2.535792000605401
50,bible,6.283237471887418,-1.2710983464965333,0.5564866760887348,-2.1546443247693907,-2.947591227898098,1.9433190275107644,1.2264010809557115,1.0997904443140226e-05,0.6163201251341891
50,gov,16.452008861163396,0.5761849976881878,0.2278954396285954,-0.406969354189369,1.3820023684637994,-0.33343204946535104,0.07977631883257578,1.4638657360496093e-06,4.820398670864087
