train set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,22.51044823100635,-7.681162716263594e-10,-0.1264159779996673,-8.721774051249007,14.394287406300966,14.425855585926012
bible,10.823953172195653,-5.738672457146081e-05,-4.6704586661305e-08,-1.59479273893938,12.004208934760186,12.013458332393688
