train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,c4,rmse,kfold rmse
cc_align,25,gov,1,flores,10.100684947052569,-5.599747020367463,0.0,0.0,0.0,2.2846287528676528,2.6703639048286276
cc_align,25,gov,1,bible,-0.7643920699814815,3.7787446724076794,0.0,0.0,0.0,0.7169580010416676,0.8072137464618211
cc_align,25,gov,1,gov,4.441229292237041,34.159600284671455,0.0,0.0,0.0,2.1944392230579197,2.4880863921172076
cc_align,25,gov,10,flores,22.235910899755144,-16.368622481310492,0.0,0.0,0.0,3.3406023947363015,3.9075773982138817
cc_align,25,gov,10,bible,1.638118811622236,2.0220699355018814,0.0,0.0,0.0,0.9168775252097139,0.9256614250636853
cc_align,25,gov,10,gov,16.395024964691647,35.54247246681216,0.0,0.0,0.0,3.3859055010523296,3.6565390417164223
cc_align,25,gov,25,flores,25.86644530841245,-20.082890037156105,0.0,0.0,0.0,3.407605444972821,3.9804679083633663
cc_align,25,gov,25,bible,0.5310016244730215,5.0062275656968875,0.0,0.0,0.0,1.0261163035017131,1.0371290444564383
cc_align,25,gov,25,gov,16.865120326745593,41.46445145913409,0.0,0.0,0.0,3.764135633515536,4.058364126905894
cc_align,25,gov,50,flores,47.094781275412295,-59.59517975929588,0.0,0.0,0.0,0.7830225381313851,1.4794371094205634
cc_align,25,gov,50,bible,5.907737291888887,-4.934423372355745,0.0,0.0,0.0,0.526878358758237,0.9954801576535243
cc_align,25,gov,50,gov,17.531892272146543,47.749838684246456,0.0,0.0,0.0,4.805134901015952,9.078787081972884
cc_align,25,bible,1,flores,0.7852214152904354,1.7419484656791677,0.0,0.0,0.0,0.6779411405672937,0.7164633517214698
cc_align,25,bible,1,bible,13.2003162022282,9.558650549448595,0.0,0.0,0.0,2.665390457994839,2.7259087970499114
cc_align,25,bible,1,gov,1.9730481675400409,-1.8529109945469646,0.0,0.0,0.0,0.4842336518294877,0.5324373831840185
cc_align,25,bible,10,flores,1.3071948538934992,2.9188189392170543,0.0,0.0,0.0,0.9374341420640142,1.0230399404905448
cc_align,25,bible,10,bible,23.20364833112544,8.752527054663219,0.0,0.0,0.0,3.5042308519006853,3.5362797823384544
cc_align,25,bible,10,gov,-0.4693623001216032,4.130971564976953,0.0,0.0,0.0,0.8512946980981291,0.9802197475491677
cc_align,25,bible,25,flores,0.37859750235466366,5.144101321387496,0.0,0.0,0.0,0.9900720343419348,1.0462736455688355
cc_align,25,bible,25,bible,27.882678759611753,7.45948843855952,0.0,0.0,0.0,3.505689370917637,3.525448822594202
cc_align,25,bible,25,gov,-0.6459280625823027,5.1146340874434575,0.0,0.0,0.0,0.9043696932592925,1.0266024674726404
