language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
ka,26.271947608726176,47.225324438235695,-469.0286425470073,547.2143820126885,4.921826299079585,4.987129883534254
gu,10.650807300555144,247.26300374171055,-999.9999999999999,950.8018271915755,4.194532008915976,4.231931947004086
hi,22.725517215195563,155.9717656775622,-820.4726953078242,854.3933376901973,3.8027219788034197,3.8296470661973325
si,81.12662544319292,-465.16818937941446,999.9999999999995,-751.6918680458382,3.0474613703695606,3.069661502774374
ta,58.531782259871456,-314.4646223772972,657.1362419139552,-494.3842684364695,3.798654274166824,3.827352585732541
