,models,Normality p-value,AIC of centered model,BIC of centered model,LogLikelyhood,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,51.92931957420898,53.51283851266509,-24.96465978710449,-0.013235223790150519,0.4918140530306297,0.4061098501987892
1,poly2,,51.98375828138139,53.5672772198375,-24.991879140690695,-0.02247025832260574,0.3615718480132371,0.04152677236367556
2,poly3,,52.06283629113406,53.64635522959017,-25.03141814556703,-0.03603527199902512,0.40619333372753647,0.06818939525382062
3,exp,,51.858985689840736,53.442504628296845,-24.929492844920368,-0.001427106722282634,0.7754697289173147,0.6827874383371739
4,log,,51.73853631354577,53.32205525200188,-24.869268156772886,0.01847599360059049,0.3506396504771984,0.176999052921908
5,power,,51.836048968205,53.41956790666111,-24.9180244841025,0.0023938277795269025,0.21893781172720844,0.10069863251208307
6,mult,,51.836048968205,53.41956790666111,-24.9180244841025,0.0023938277795269025,0.21893781172720844,0.10069863251208307
7,hybrid_mult,,51.86927974584478,53.45279868430089,-24.93463987292239,-0.003146705891412971,0.4319716501063931,0.3646767379287602
8,scaling,,51.85146779372681,53.43498673218292,-24.925733896863406,-0.00017312167145155932,0.1980928626997104,0.03408812236089067
