,models,Normality Pearson p-value,Normality Shapiro p-value,AIC of model,BIC of model,LogLikelyhood,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value,Normal Test,Homoscedasticity Test
0,linear,,0.8708579540252686,62.398833763346246,64.29065406145688,-30.199416881673123,0.2662817012550631,0.32236580024226247,0.40952840649294153,not F,not F
1,poly2,,0.8644413948059082,62.45463940670738,64.346459704818,-30.22731970335369,0.2604089483472801,0.26315246070091736,0.33709796419694893,not F,not F
2,poly3,,0.22615650296211243,62.27600743795568,64.1678277360663,-30.13800371897784,0.2790436836521153,0.0007549083151030584,0.058984965868738366,not F,not F
3,exp,,0.5705633163452148,62.19123552987305,64.08305582798367,-30.095617764936524,0.2877220066726468,0.9071880841349312,0.9968761023865925,not F,not F
4,log,,0.060707710683345795,63.058353355267656,64.95017365337829,-30.529176677633828,0.193791615758653,0.029650177011337913,0.006495151142913752,not F,X
5,power,,0.6467414498329163,62.579220313705356,64.47104061181598,-30.289610156852678,0.2471284168378579,0.09572476658622082,0.1503518888842576,not F,not F
6,mult,,0.6467414498329163,62.579220313705356,64.47104061181598,-30.289610156852678,0.2471284168378579,0.09572476658622082,0.1503518888842576,not F,not F
7,hybrid_mult,,0.8681351542472839,62.39078040931624,64.28260070742687,-30.19539020465812,0.2671253434682056,0.28519241852183,0.37398002221716475,not F,not F
8,scaling,,0.6467414498329163,62.579220979037956,64.47104127714859,-30.289610489518978,0.24712834527928196,0.09572497316324928,0.15035215133619406,not F,not F
