train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,rmse,loo rmse
cc_align,25,gov,1,flores,92.91389465468063,-213.47291527608633,25.708245842404054,1.5282295487148485,1.7737487852137006
cc_align,25,gov,1,bible,23.040727600567635,-55.98986931986155,7.729372357543137,0.6126474358045889,1.3080806981762283
cc_align,25,gov,1,gov,27.82026159083042,-72.9956274585882,43.91238801038797,2.0044962231989305,2.004506891322548
cc_align,25,gov,10,flores,160.5442265626463,-356.3992341358539,37.427122155076695,1.5587095397818254,2.7646645810428554
cc_align,25,gov,10,bible,13.88266425107624,-18.02375503997459,-3.627023991395597,0.7970958942565202,1.362575826060861
cc_align,25,gov,10,gov,25.422959636344657,-73.75874653174448,66.62760321530392,1.7877578691693619,3.6404295616190288
cc_align,25,gov,25,flores,170.04301468074263,-372.85854244759963,37.634377129244406,1.403841695404071,2.6997316694541422
cc_align,25,gov,25,bible,14.786064011619967,-20.09963205452577,-2.802767572793782,0.962501351739959,1.88043468237747
cc_align,25,gov,25,gov,25.71631306089624,-80.55426258780815,76.29371812730494,1.7792878139522736,3.7804624476961384
cc_align,25,gov,50,flores,127.95286156226204,-234.72544470225466,3.7161639597859675,3.128288296234181e-13,1.9056654676539926
cc_align,25,gov,50,bible,-5.0249806651198945,35.57617942768767,-13.11678267594747,3.253288153809195e-15,0.2699773538359965
cc_align,25,gov,50,gov,112.1433101314648,-309.3580819798578,118.40680587779747,2.21791033228356e-13,2.494139343758302
cc_align,25,bible,1,flores,15.80495016560049,-32.0460374596576,2.047814043955775,0.5965549845308794,0.9201928574617668
cc_align,25,bible,1,bible,-1.0660120037015015,8.16683363033007,22.553722439395777,2.228441201837459,4.722592951528852
cc_align,25,bible,1,gov,16.21009881483092,-34.95912565536865,2.4943152233466304,0.34567268578721305,0.3805099558794123
cc_align,25,bible,10,flores,29.61139203150291,-64.6863313843409,6.633702685241686,0.7637491810665997,1.5795205214087256
cc_align,25,bible,10,bible,-11.331371816552828,41.684297866360026,27.901243186172533,2.676782778870399,6.844566820868088
cc_align,25,bible,10,gov,27.13292112451582,-67.22673264265195,10.40871585591448,0.734916127974066,1.2037507074689435
cc_align,25,bible,25,flores,26.17542732977904,-54.19607726806603,4.579111226739405,0.8882164878273073,2.038563855606845
cc_align,25,bible,25,bible,-11.643460956119533,53.77277519313905,25.64551010046111,2.657584534244179,6.984086458392283
cc_align,25,bible,25,gov,27.891271073944406,-67.75176010733406,10.166882520532866,0.8054214450592079,1.4536947639951423
cc_align,100,gov,1,flores,89.93397573372168,-196.1269501562427,19.6073784865987,1.269064133684019,1.4093459803083976
cc_align,100,gov,1,bible,23.99011805524758,-57.64488013778628,7.8925676167439525,0.5719435643248129,1.184215050505521
cc_align,100,gov,1,gov,19.69957274662696,-40.50646047664094,35.13139932329622,1.5460793947408809,1.7320927622028528
cc_align,100,gov,10,flores,149.88844696471372,-327.71140157762926,34.695274762100176,1.6900704653283136,2.6078195601902956
cc_align,100,gov,10,bible,10.47465609581958,-15.284464818427356,0.23075161431771019,0.916009732687737,1.4238193089679887
cc_align,100,gov,10,gov,17.455128831086288,-51.739144949308155,63.53812009553516,1.8455458281253327,3.6092333235652916
cc_align,100,gov,25,flores,145.8430769008248,-302.68465143480233,25.316500783889342,1.4926486492532238,2.636608288603397
cc_align,100,gov,25,bible,4.763006922564603,2.9228842568919986,-3.7007555135260892,0.9554986777310119,1.6438505483200272
cc_align,100,gov,25,gov,13.31108662939651,-48.800849041008384,72.60147644577947,1.8630556476071767,4.099956496815692
cc_align,100,gov,50,flores,126.81075019334526,-219.64423820572554,-2.9311678267537573,8.605527661830372e-13,1.793850152963087
cc_align,100,gov,50,bible,1.4576179591056266,17.014694453655526,-8.012374304117836,2.7051891439120574e-09,0.12293877158084206
cc_align,100,gov,50,gov,113.66450116009398,-317.86542923434104,122.41299303944301,6.614792882340217e-14,2.559699972232215
cc_align,100,bible,1,flores,16.342375106308126,-31.696422817717483,1.302963187421481,0.570093274609243,0.9458025919242802
cc_align,100,bible,1,bible,-0.10709024551035326,7.107286754347531,22.897068192808153,2.219939801485346,5.2327540512463155
cc_align,100,bible,1,gov,18.79364984025867,-40.65969327025616,3.072614448779612,0.38945625897076147,0.5399707266689817
cc_align,100,bible,10,flores,24.86220014037131,-51.02518886877146,4.667031167288249,0.8686472331912712,1.9125214686455405
cc_align,100,bible,10,bible,-12.504167036312223,41.4860990216174,30.413955219789887,2.6764204334150694,6.8810222723044205
cc_align,100,bible,10,gov,22.52765640961805,-54.229819440987825,8.614535693322871,0.8187799155864852,1.4221779078258794
cc_align,100,bible,25,flores,27.08532208849454,-57.28577439035922,6.320703539240223,1.0715506483110355,2.4285447092588535
cc_align,100,bible,25,bible,-9.2874076841384,50.824232757972574,24.836483433993674,2.7696385285835854,7.346872744289599
cc_align,100,bible,25,gov,20.030059310906967,-47.60966014031986,7.961724019046621,0.9670654285332901,1.902208735594558
gov,25,bible,1,flores,31.795952133364477,-69.27870932950982,5.45181132115581,0.599531073920617,1.3765320535024443
