train set,train set size,test set,c0,c1,c2,c3,c4,c5,c6,rmse,kfold rmse
gov,1,flores,-2.8431382917239887,-0.6963971767930486,1.7340478084822792,3.500690047509197,-12.259696894693137,-33.10790441105859,-4.432515031956343,1.2586891809909634e-09,0.029539002457664085
gov,1,bible,-3.844962767662391,0.852176055225478,2.3376898660901047,0.2933900142062869,-4.1457208352271975,-3.749629599409385,-5.391109483793512,1.0456361570102055e-10,0.18212106253961682
gov,1,gov,38.39057195148325,43.42446757411795,-24.57726091592489,6.683573410744159,-19.979798489293476,-56.17258559405632,18.05741697661211,3.894497712466751e-09,3.2654359696769926
gov,10,flores,-19.981343953575465,-11.96422980963717,16.24191719418297,-4.533532765695114,-11.898286834383857,-17.399943169802405,-27.882580594666603,3.4860718988682303e-09,2.1036893962196688
gov,10,bible,-18.219260011666726,-28.804095425802824,-15.78566502064671,9.330807483682344,8.773694583800927,-20.954460415269285,-1.8323581216197589,1.121835805145743e-11,2.0505270018481467
gov,10,gov,70.79716150431271,3.1086011833105855,28.999499706843945,-1.6055380357076734,25.73868747996953,-38.87629568299508,7.072307970035423,6.699735183687769e-09,4.033644111966465
gov,25,flores,-25.320278026822443,-7.921140955201644,10.01986363799664,-5.990022783962589,-13.603683536313126,-16.09616200499883,-31.814430834432965,2.2249624454225977e-09,5.584005479154072
gov,25,bible,-5.903096193268377,15.308677310968447,-0.35278044589777907,-3.0773415972266176,-16.14275303941008,-4.034645766460154,-8.200479698007738,4.575883810566314e-10,6.234718962204359
gov,25,gov,44.05861045461027,17.57343486348359,-46.636684234338986,-2.0301500233918173,41.65000657626734,-38.11092534484926,17.41634241546326,9.614151449040461e-09,3.5614786048724367
gov,50,flores,-1.453841261655913,-1.2479307470448688,14.865024115960294,-13.445996101844177,-17.767224228200696,15.108147932609668,-9.49960462803701,6.2857569491062416e-09,3.652727532197863
gov,50,bible,-1.5427356639639769,-3.1267900088198557,-0.9280733622956242,-1.2019103905923776,-3.7663550782576696,1.302578397395735,1.1606646528960378,1.9114012453227087e-09,0.8579653789200974
gov,50,gov,16.457153262443786,-66.551768117901,-8.182896755728274,-2.390630941862834,92.73865861798947,7.856191885859994,-16.490662241221877,9.165234029100264e-11,1.8574211524296937
bible,1,flores,0.0495208649723535,5.6283971490936535,-0.12782815862208805,-0.19173338364925746,-6.028701132289772,-4.78860493238995,-1.4890206804504469,3.442275191474587e-10,0.21401176693655694
bible,1,bible,27.074293578058793,10.26790326849447,-41.62436914335566,7.373786119326175,8.681080480740563,-63.28130703931708,29.608121157279722,3.168079012395563e-12,3.296292752928364
bible,1,gov,-2.075096973021847,2.94607756554943,-2.9713613645862385,-0.038851617941783545,-3.3721340151481014,-3.7101485297934635,-0.7114501255643996,1.5206533566119591e-10,0.07465729240795956
bible,10,flores,-6.673416066026083,25.889767705005895,-12.556516689823914,-5.867940099419504,-13.07899459817054,5.864762533883914,-5.499193930839431,2.6926278835546886e-10,0.0058900958032278485
bible,10,bible,48.03818049457558,50.389695214130406,-34.388577214189446,-9.57710443521886,3.028097369856448,-35.80564781080969,25.6537244233494,1.4196229912195742e-09,5.389496288854905
bible,10,gov,-3.41646493103664,-1.538843019358405,-0.5833573021192588,1.1177654010949927,-3.1757356189035413,-7.174857633115354,-2.696604532003215,1.5247678409333956e-10,0.45041431653311803
bible,25,flores,-4.416031101014262,-0.9479785492678882,0.43852032147858905,0.5470768971516686,-3.0623906363620845,-3.4754568834734383,-5.996398808637055,4.5183772426811883e-10,0.2728339615698901
bible,25,bible,47.93457548428712,56.920480635925294,-56.31427404013758,-8.766944677546155,3.577006420523674,-34.93739671064929,32.803724959824144,2.6554310512246154e-09,3.0921691415606363
bible,25,gov,-4.893464391000937,2.6824109130394076,-1.1314139421606146,-0.32350441859199847,-4.506705035582068,-3.932803983844448,-4.972817245540666,7.428005401232875e-11,0.40520060724943235
