,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-194.30616134427106,-194.10893676693485,1.0,0.0,
1,poly2,,-111.5144328297876,-111.31720825245138,1.0,0.0,
2,poly3,,-118.512110786977,-118.31488620964079,1.0,0.0,
3,exp,,-197.9034098013663,-197.7061852240301,1.0,0.0,
4,log,,-145.5092625158204,-145.3120379384842,1.0,0.0,
5,power,,-202.80580137643972,-202.6085767991035,1.0,0.0,
6,mult,,-197.36866510714736,-197.17144052981115,1.0,0.0,
7,hybrid_mult,,-183.84349649368795,-183.64627191635174,1.0,0.0,
8,am,,2.189779450675339,2.3870040280115585,0.9181690801827755,0.0,
9,gm,,4.325973109703716,4.523197687039936,0.8332126382661269,0.0,
10,hm,,5.631469074422691,5.82869365175891,0.7422770837850545,0.0,
