model,none,train,test,train+test
linear,13.712879694245558,13.262553927620928,12.054423054600358,4.2011281442523165
poly2,13.693119906612662,13.24810561508151,11.992259371509176,3.9339483365243075
poly3,13.6928293349076,13.245979080652491,11.982034362612822,3.8850200068032827
exp,13.712856115398926,13.26250414546071,12.054453579321597,4.2006030518836175
log,13.712634117579984,13.262184615763935,12.052813083231621,4.198845534049412
power,13.712612950161883,13.26214565769072,12.0528892923447,4.198415542368491
hmult,13.711988298382815,13.25937484638537,12.05288761100033,4.200973114390478
