language to,c0,"c1,1","c1,2","c1,3",c2,rmse,kfold rmse
ka,2.377720443507282,2.058579804609111,-0.14895949057551916,0.003359706021119087,-3.679020536342575,10.543868055504413,10.615280832359538
gu,4.757467717753558,4.11521277990848,-0.438095404840618,0.011644896865443692,-1.6194390322830106,11.290435267390876,11.350644604400962
hi,5.595711117904512,1.2651873002251652,-0.050617912644373396,0.0006178990385997175,-7.034050091916521,11.932532313280136,12.183823859578293
si,3.785912989751541,1.7763437589648228,-0.07280550490205771,0.0008826934270758362,-6.949863573888974,16.275819024845273,16.747673831692527
ta,3.1420231428615177,1.4176015106049558,-0.05787659929283965,0.0007069333062452259,-6.219577981236301,13.19198303539303,13.571939868936763
