train set 1,train set 2,train set 2 size,test set,language to,c0,"c1,1","c1,2","c1,3",rmse,loo rmse
cc_align,gov,1,flores,ka,2.363092684685713e-05,0.0005626330868699396,0.011251818741603949,-0.00010537447435580635,6.92454383622643e-09,238.9915661532901
cc_align,gov,1,flores,gu,4.5697685965794265e-05,0.0010880244089218679,0.021758836200756193,-0.00020649721014652834,1.7568182625950083e-08,462.1656705582896
cc_align,gov,1,flores,hi,4.0816455176644115e-05,0.0009718063618214125,0.019434657286073753,-0.0001837437943132678,4.842859777732827e-09,412.7986651094964
cc_align,gov,1,flores,si,2.7646251576134764e-05,0.0006582346068359033,0.01316369691415608,-0.00012440282024875202,1.1586137957859085e-08,279.6013113048103
cc_align,gov,1,flores,ta,1.926647115640473e-05,0.0004587189450348563,0.009173690238348778,-8.60827935443051e-05,7.117724764877331e-09,194.85172027626166
cc_align,gov,1,bible,ka,2.6186733641662704e-06,6.234848390808773e-05,0.0012468770780957707,-1.1575008248032906e-05,4.988603044712401e-10,26.483907783358024
cc_align,gov,1,bible,gu,1.1424421491448566e-05,0.00027200610223046697,0.005439709050189048,-5.1624302536632084e-05,4.392045656487521e-09,115.5414176395724
cc_align,gov,1,bible,hi,6.138178540274962e-06,0.00014614500970792514,0.002922679862804367,-2.7541419267218382e-05,1.1482558854327988e-09,62.07862764745199
cc_align,gov,1,bible,si,3.05861151688008e-06,7.28230497687851e-05,0.0014563524288984827,-1.3570809652605972e-05,1.4817958056852046e-09,30.933247806548042
cc_align,gov,1,bible,ta,3.5055348229389386e-06,8.346391865071992e-05,0.0016691527739933008,-1.5699877637319833e-05,5.913678528564336e-10,35.453298507856715
cc_align,gov,1,gov,ka,7.72474995558219e-05,0.0018391996811491667,0.03678121125410529,-0.00034779610975757986,4.128727996313065e-08,781.2453587361315
cc_align,gov,1,gov,gu,0.00010686305878002269,0.0025443216524662507,0.050882559608244136,-0.00048418013511150333,3.423223349862666e-08,1080.7653485487042
cc_align,gov,1,gov,hi,9.490789187380454e-05,0.002259679038704563,0.045190150153576476,-0.00042882756434810384,2.6099432137623223e-08,959.8553519096863
cc_align,gov,1,gov,si,0.00011427914052380709,0.002720892533663206,0.05441371539840403,-0.0005169093575166299,3.73912940124949e-09,1155.7677285006132
cc_align,gov,1,gov,ta,9.842739782113703e-05,0.0023434755828665933,0.04686595330549952,-0.0004447939790439673,1.4875432775341405e-07,995.4500733809103
cc_align,gov,10,flores,ka,5.757601575712334e-05,0.0013708376792573888,0.027414670514375888,-0.0002603838464875146,8.405196090542051e-09,582.2978523094121
cc_align,gov,10,flores,gu,8.219159668324512e-05,0.0019569144544447706,0.03913531509749852,-0.00037174892461268,2.9575703229686527e-08,831.2487551451743
cc_align,gov,10,flores,hi,7.116520194209483e-05,0.0016943850884633374,0.03388513120269316,-0.00032132082170027704,3.1802531537419035e-08,719.7324149064973
cc_align,gov,10,flores,si,4.8714386244819326e-05,0.001159849632997038,0.02319523851259034,-0.00021926841880330457,1.2886120372809171e-08,492.67465509969156
cc_align,gov,10,flores,ta,3.991562348544259e-05,0.0009503583228044021,0.019005731636951104,-0.00017935239211772677,1.4107481457539474e-08,403.68785656444805
cc_align,gov,10,bible,ka,7.4719633492116e-06,0.00017790131438259827,0.0035577559247971535,-3.379535685148281e-05,4.962173457542147e-09,75.5680685911202
cc_align,gov,10,bible,gu,1.7115676718161134e-05,0.00040751024287780433,0.008149588564325823,-7.703665378336477e-05,6.426425674222769e-09,173.099994746429
cc_align,gov,10,bible,hi,1.5816817780238386e-05,0.0003765854557923455,0.007531137523450133,-7.1449049596983e-05,3.830202668562999e-09,159.96410687192792
cc_align,gov,10,bible,si,7.4090967591703025e-06,0.0001764045821930606,0.0035278308762081785,-3.2595956629381405e-05,7.442408662234231e-10,74.9316724880523
cc_align,gov,10,bible,ta,1.1389495586362022e-05,0.00027117458383001103,0.0054230840128484115,-5.095796897631373e-05,2.215854416532095e-09,115.18786424897912
cc_align,gov,10,gov,ka,0.00013547999362707806,0.00322566732963316,0.06450843213647456,-0.0006143070235777827,3.626627362811262e-09,1370.184575179749
cc_align,gov,10,gov,gu,0.00015306354871320402,0.0036443173409774904,0.07288079583920436,-0.0006938725431882717,6.417132112461407e-08,1548.0167560368175
cc_align,gov,10,gov,hi,0.0001438178630600074,0.003424185171717984,0.06847848881475584,-0.0006518274504832587,3.0110508080163204e-08,1454.5099059966992
cc_align,gov,10,gov,si,0.0001856119865180699,0.004419268903490568,0.0883786466411801,-0.0008414285789131955,4.257821997516115e-08,1877.1971996819584
cc_align,gov,10,gov,ta,0.00015303560836433443,0.003643652135190314,0.07286749598798131,-0.0006933394781287172,1.0102083669777425e-08,1547.7339133243431
cc_align,gov,25,flores,ka,6.724766982198133e-05,0.0016011118218024751,0.03201980317036844,-0.00030415821013339946,6.1095888376731695e-09,680.11261410582
cc_align,gov,25,flores,gu,8.969150034688935e-05,0.002135480973794629,0.0427063708571217,-0.00040607734635954475,2.4979199570919793e-08,907.0996683773258
cc_align,gov,25,flores,hi,7.863716558009884e-05,0.0018722864097218406,0.03744288726499739,-0.0003551161799285282,1.8845807229490862e-08,795.3004854261754
cc_align,gov,25,flores,si,5.490146126929218e-05,0.0013071587736340155,0.026141193531031608,-0.00024774270608984476,3.185413610089876e-08,555.2482591011047
cc_align,gov,25,flores,ta,4.6039831650837996e-05,0.0010961707248463176,0.021921761478703162,-0.00020662727789958176,1.0580542719102787e-08,465.6250618913843
cc_align,gov,25,bible,ka,8.784792613000196e-06,0.00020915870796709113,0.004182856963387507,-3.964949428956341e-05,4.4797533668034415e-09,88.84537782185853
cc_align,gov,25,bible,gu,2.066312255593577e-05,0.0004919719819122362,0.009838691349193901,-9.353613135330782e-05,2.490108330706025e-09,208.9775576444238
cc_align,gov,25,bible,hi,1.7129647014688115e-05,0.0004078428486783048,0.008156238548070936,-7.730318689519562e-05,1.2935441829399985e-09,173.24141610266628
cc_align,gov,25,bible,si,8.735896390717907e-06,0.00020799458327402882,0.004159581932460427,-3.871662751887938e-05,2.3220813098944445e-09,88.35040307502796
cc_align,gov,25,bible,ta,1.402213929175574e-05,0.00033385567460287983,0.0066766110959732014,-6.27995105492793e-05,2.3654728145791304e-09,141.81319403142692
cc_align,gov,25,gov,ka,0.00015043789051060786,0.0035818025615460313,0.07163059391676174,-0.0006821642698614019,1.1795387184531695e-08,1521.4621375753409
cc_align,gov,25,gov,gu,0.00016849631018651864,0.00401175866981762,0.0802290582609366,-0.0007643919269729267,1.2155960359573427e-08,1704.097210078349
cc_align,gov,25,gov,hi,0.00015615010152125958,0.0037178056189689644,0.07435044856800016,-0.0007079764223927141,3.231143431968347e-08,1579.2328447879972
cc_align,gov,25,gov,si,0.0002054022165149266,0.00489045802320324,0.09780171161312622,-0.0009311063673298828,2.676930689183945e-07,2077.346797922332
cc_align,gov,25,gov,ta,0.00016932030541467197,0.00403137738092825,0.08062140907938216,-0.0007673173978535949,6.22188916618963e-08,1712.430201164091
cc_align,gov,50,flores,hi,8.872780226538163e-05,0.002112536207343607,0.04224752025451297,-0.0004004865448941053,1.9862273747124548e-08,897.3524585863913
cc_align,gov,50,flores,si,6.018770376198586e-05,0.0014330198552405357,0.028658222500113344,-0.000271825587173534,3.7432337075057514e-08,608.7110494146514
cc_align,gov,50,flores,ta,5.663327309501746e-05,0.0013483918209026356,0.026965794875296174,-0.0002551928445687857,2.083991791238701e-08,572.7627745528332
cc_align,gov,50,bible,hi,1.710170629417898e-05,0.00040717763404270294,0.008142938519893549,-7.677012006391309e-05,6.016666142530588e-09,172.9585733901917
cc_align,gov,50,bible,si,1.0914631611486094e-05,0.0002598685015432189,0.005196983664189126,-4.8295834406750384e-05,3.3117297316052345e-09,110.38497131733517
cc_align,gov,50,bible,ta,1.5341953729668832e-05,0.00036527937170335184,0.007305037138749707,-6.87869146665633e-05,2.616735531049619e-09,155.16121394028377
cc_align,gov,50,gov,hi,0.00016322403706245047,0.003886230171919044,0.07771867883378432,-0.0007405755745774573,7.30689873151963e-08,1650.7758411210386
cc_align,gov,50,gov,si,0.00022038107030874517,0.005247092198709146,0.10493384906682084,-0.0009993634202677603,6.285723060902518e-08,2228.8364717810055
cc_align,gov,50,gov,ta,0.0001808075932444338,0.004304880209354821,0.08609104305830113,-0.0008201410994122582,3.249467181019606e-08,1828.6080168352887
cc_align,bible,1,flores,ka,3.938487802073193e-06,9.377218100841279e-05,0.001875303120869334,-1.7562412365287433e-05,2.466194158885099e-10,39.831927692215004
cc_align,bible,1,flores,gu,1.1864359598134515e-05,0.0002824806669952794,0.005649184379075815,-5.3620103721775145e-05,1.906502141148754e-09,119.99075782347559
cc_align,bible,1,flores,hi,1.0104607046611568e-05,0.00024058240496514262,0.004811283004115764,-4.563689838633961e-05,3.5479677072779496e-09,102.19339773071557
cc_align,bible,1,flores,si,5.272272609016469e-06,0.00012552848563562554,0.002510379181912992,-2.3816349940048866e-05,3.745193218000235e-09,53.321368957309296
cc_align,bible,1,flores,ta,6.1451636573655394e-06,0.00014631131186597455,0.002926004839834096,-2.7674685674522294e-05,7.643197830756545e-09,62.149338325570646
cc_align,bible,1,bible,ka,6.37072089648827e-05,0.0015168163816781757,0.030334025297576953,-0.00028779199832042705,3.254514037401304e-08,644.3057657430575
cc_align,bible,1,bible,gu,7.433557641239463e-05,0.0017698689984741035,0.03539468377828994,-0.0003370238990183203,1.356218907851743e-10,751.7970317951001
cc_align,bible,1,bible,hi,8.44262133193432e-05,0.0020101188013735443,0.04019931687335058,-0.000382394265040651,3.594775837137608e-08,853.8490100981352
