model,log likelihood,R2 coefficient,normality pearson p-value,normality shapiro p-value,homocedasticity levene p-value,homocedasticity bartlett p-value
linear,-3.854459957459534,-0.0032854260489931786,,0.08933863043785095,,
poly2,-3.8516394014296624,-0.0014006501376122582,,0.08923275768756866,,
poly3,-3.9323304024122763,-0.05674525555452248,,0.029082711786031723,,
exp,-3.868082094400786,-0.012438184163023669,,0.0721450001001358,,
log,-3.85452766985908,-0.0033307169803229453,,0.08933863043785095,,
power,-3.8544516531669557,-0.0032798716805566563,,0.08933863043785095,,
hmult,-3.8544518333479987,-0.003279992195239556,,0.08933863043785095,,
