train set 1,train set 1 size,train set 2,test set,language to,c0,c1,rmse,loo rmse
cc_align,25,gov,flores,ka,7.549674020207648,0.030029734924935762,2.205346773561029,24.292863565695495
cc_align,25,gov,flores,gu,12.550506011168945,0.02110947137559161,2.3700025596023524,16.927310522743454
cc_align,25,gov,flores,hi,12.425724484112036,0.010613165392786082,2.23801522080529,5.847358861005098
cc_align,25,gov,flores,si,8.557890924613151,0.010433661775479332,1.6223468005288388,4.5471832902786264
cc_align,25,gov,flores,ta,6.545083887916493,0.014393533943448346,1.4952484693452703,4.3197824343842495
cc_align,25,gov,bible,ka,0.9217455368847303,0.03286296551524042,0.3212573410884144,4.413536895938559
cc_align,25,gov,bible,gu,2.838346535476239,0.021083175316842048,0.292907680133363,1.7122295518715243
cc_align,25,gov,bible,hi,2.5149839991815703,0.01043451662770465,0.7864418644322217,2.255626649468549
cc_align,25,gov,bible,si,1.17283862507164,0.016022309705578053,0.3245686208156726,1.012113826151511
cc_align,25,gov,bible,ta,1.7555400179840381,0.0152629681210513,0.6594373978698793,2.482981066575462
cc_align,25,gov,gov,ka,20.89902908014172,0.021249932618498304,3.669717087289808,25.44578228720254
cc_align,25,gov,gov,gu,26.549962683254606,0.01578722860943839,2.714638917371204,14.444738768526163
cc_align,25,gov,gov,hi,26.747659279915617,0.007509684410987182,3.7867591045513116,9.660267282146409
cc_align,25,gov,gov,si,33.53494745952558,0.009016426511083845,5.479477800438069,14.64269397066424
cc_align,25,gov,gov,ta,28.13192397882636,0.008532118172945068,4.199365597986504,11.165816688388247
cc_align,25,bible,flores,ka,1.2445836960145105,0.026595883111126525,0.357827509320057,3.648930148467882
cc_align,25,bible,flores,gu,3.1475617714858535,0.019244252775689846,0.5047545721574492,3.257934635412036
cc_align,25,bible,flores,hi,2.54746249400339,0.012972835536912423,0.2908379085102163,1.514479834080665
cc_align,25,bible,flores,si,1.4211280632734955,0.01562725596565988,0.24762794817347808,1.550610996927906
cc_align,25,bible,flores,ta,1.5851514659894264,0.023824068035015092,0.2151000662628246,1.420806802217699
cc_align,25,bible,bible,ka,16.683381932395264,0.02278780138678699,2.489339302858151,16.660121573650745
cc_align,25,bible,bible,gu,18.47498289981244,0.01836530619450317,1.913733971219295,10.678613062192271
cc_align,25,bible,bible,hi,21.038420053442238,0.01796432118963558,2.221509245100742,12.365382074181582
cc_align,25,bible,bible,si,25.225151052256944,0.017802058940433584,2.9838431361996642,17.041240792390116
cc_align,25,bible,bible,ta,19.86904464205835,0.019709426381494956,2.4377707341639807,14.537060180701745
cc_align,25,bible,gov,ka,0.574925906562604,0.021965856716990383,0.01199275218441984,0.05481525707695159
cc_align,25,bible,gov,gu,2.0132989773781214,0.02593309423456204,0.4429909346566125,3.7293171218693315
cc_align,25,bible,gov,hi,1.6803931720729886,0.014989037440827498,0.10803700694394554,0.5219749049404967
cc_align,25,bible,gov,si,0.8828100909250791,0.025426673250784074,0.1959359326512899,1.6424015609637856
cc_align,25,bible,gov,ta,0.6401252756737448,0.0351684776067251,0.14661037241153513,1.497370759666389
cc_align,100,gov,flores,ka,8.883058010420198,0.02554107329346671,1.822129028799297,14.667940169504837
cc_align,100,gov,flores,gu,13.45552645392207,0.01991939405176469,2.495337504726196,17.307386338276697
cc_align,100,gov,flores,hi,13.790565973753953,0.010330196158865846,2.2251539139523304,5.651518664921219
cc_align,100,gov,flores,si,9.849210562021531,0.009305177122540533,1.8325286439798654,4.630410986259257
cc_align,100,gov,flores,ta,8.116244487926265,0.012713998771806984,1.7159788683840365,5.297592430688473
cc_align,100,gov,bible,ka,1.1199609332550613,0.028375311798141827,0.2360582290116602,2.02918053749284
cc_align,100,gov,bible,gu,3.212623884755211,0.018347598352483934,0.47126034148752277,2.8999467653672815
cc_align,100,gov,bible,hi,2.769742183081178,0.011815638614319581,0.7506061545016715,2.1157908066957383
cc_align,100,gov,bible,si,1.7733489601510872,0.015538353276899383,0.5344411366713484,1.3405481697672508
cc_align,100,gov,bible,ta,2.2196389033584616,0.014754719546386814,0.8425329115097538,3.094918823507612
cc_align,100,gov,gov,ka,22.677842168111457,0.018065756177834024,2.8915443194243924,16.940804354609455
cc_align,100,gov,gov,gu,27.179209099352715,0.014880839837448404,2.7463315086084656,14.349416554955836
cc_align,100,gov,gov,hi,27.927402463665477,0.006546643253304535,3.4406443393109623,8.621824440091306
cc_align,100,gov,gov,si,34.59427449388496,0.008526339219153332,5.19892855755376,13.882627639306598
cc_align,100,gov,gov,ta,29.481977354628103,0.007635936172833003,3.985260190396722,10.505100030462241
cc_align,100,bible,flores,ka,1.5730593213778539,0.02225097009343276,0.3973315081168345,3.4039454774258195
cc_align,100,bible,flores,gu,3.4353474460682647,0.02240478323610148,0.5958928036169501,4.195857717880823
cc_align,100,bible,flores,hi,2.790208793971871,0.014800826675054413,0.3393697699517915,1.8542552649533925
cc_align,100,bible,flores,si,1.5909236079335214,0.021405402898399015,0.31823520737469474,2.3486207062643953
cc_align,100,bible,flores,ta,1.9899047565418,0.024234349276072716,0.42137606897119184,3.368634766192071
cc_align,100,bible,bible,ka,17.567262661879333,0.021283909115938783,2.197836078223018,13.547229589353217
cc_align,100,bible,bible,gu,18.760128077803703,0.0180771357294396,2.0023876471136237,11.196088495284707
cc_align,100,bible,bible,hi,21.445168365988646,0.017835022686954548,2.034440420951643,11.032704294718304
cc_align,100,bible,bible,si,26.082691611730677,0.016874824642490804,2.9506411064160174,16.391373931797503
cc_align,100,bible,bible,ta,20.394695699128402,0.018940519226266092,2.470317348346499,14.483222596351638
cc_align,100,bible,gov,ka,0.8333376314806207,0.011809360215668934,0.045168513006840855,0.20235925468954138
cc_align,100,bible,gov,gu,2.4282756638196057,0.023466758972561452,0.4690162693057272,3.5307534089139643
cc_align,100,bible,gov,hi,1.9661496343435885,0.012462458473646618,0.19839807952819824,0.9943949303389762
cc_align,100,bible,gov,si,1.090765979582261,0.02437426721393138,0.30484698735098775,2.9180085260562603
cc_align,100,bible,gov,ta,0.9960973766566908,0.03494101533663803,0.2984977909982938,3.6878455866835793
gov,25,bible,flores,ka,2.0219149045987694,0.01761578563072782,0.3589741022819563,2.3456857501987947
gov,25,bible,flores,gu,4.034565939213612,0.021025923884793987,0.6082414596773521,3.960315958399895
gov,25,bible,flores,hi,2.804013049344125,0.013686619237703096,0.3532082957785984,1.9119902918723553
gov,25,bible,flores,si,1.3588972414661828,0.02171354208480431,0.3794640367870859,3.4566217309083678
gov,25,bible,flores,ta,1.5010973154530303,0.023203489606613725,0.22849189909665937,1.5514262838440824
gov,25,bible,bible,ka,18.201401411759143,0.019863780193389365,2.140840919436993,12.654368698963983
gov,25,bible,bible,gu,18.674271385179217,0.017891058827884415,1.8137016180143952,9.894454990467516
gov,25,bible,bible,hi,21.00196054474011,0.018726985877172753,2.1894069994743135,12.312018766143272
gov,25,bible,bible,si,25.599427829951466,0.017035426151013274,3.2623284605320055,18.771425873841878
gov,25,bible,bible,ta,19.370465213221244,0.02021772629493916,2.431086973287533,14.7206836939101
gov,25,bible,gov,ka,2.156990643919897,0.012791629329035669,0.3991331729212646,2.441386549274044
gov,25,bible,gov,gu,5.099788867466888,0.028127817279207074,1.5423103244912755,16.878598527833475
gov,25,bible,gov,hi,2.9032724824659923,0.02198487513385014,0.35841143037866685,2.2281520232948715
gov,25,bible,gov,si,2.571825513283554,0.0325324817744855,1.330183022853626,33.26316746676311
gov,25,bible,gov,ta,2.623343408223642,0.03647931257339658,1.178908564473582,24.55854107544509
gov,1,bible,flores,ka,1.040996848354109,0.03343210778765243,0.3418558227847596,4.465744198313569
gov,1,bible,flores,gu,3.7056785250960025,0.021516324931931577,0.6707835356139019,4.7348104369307356
gov,1,bible,flores,hi,2.5498419736487947,0.016154474190327207,0.29522015764319076,1.629426311468258
gov,1,bible,flores,si,1.4113317701953647,0.024181622953700046,0.5244712743792342,6.537095877200293
gov,1,bible,flores,ta,1.378186663604942,0.02688991883884677,0.29825647798409666,2.5314295689199047
gov,1,bible,bible,ka,15.152333525963487,0.025265095262007844,2.614588111605571,19.331737491441842
gov,1,bible,bible,gu,17.56047715781499,0.020584102846152034,2.090461960314962,12.553681603306565
gov,1,bible,bible,hi,20.263697426439194,0.019223860163639004,2.5374346060032917,15.09029039987659
gov,1,bible,bible,si,24.229802975069347,0.019428711593969257,3.3744887838285718,20.800331078535535
gov,1,bible,bible,ta,18.384660358302746,0.021941504812159035,2.526992662559684,16.210861552688097
gov,1,bible,gov,ka,1.2384764376268969,0.015120549756015539,0.2626172043735163,1.7865043350152214
gov,1,bible,gov,gu,6.468351264284313,0.023328517968619324,1.662565220568899,14.696693525207143
gov,1,bible,gov,hi,3.525165653324734,0.02644925233776351,0.681632152750021,5.416828749464436
gov,1,bible,gov,si,3.8371732751574066,0.026062407053912422,1.3657883524174494,16.824256928998327
gov,1,bible,gov,ta,3.911725579894473,0.031210893558825503,1.4131258969552205,19.557513697891853
gov,10,bible,flores,ka,1.816394124379576,0.020467677424906846,0.34835777501413345,2.4776839052152475
gov,10,bible,flores,gu,3.9052809088690004,0.021067904761845932,0.5768378048478897,3.7318868910736254
gov,10,bible,flores,hi,2.7599637611218677,0.014115833473715476,0.3074839339994999,1.6226928303109922
gov,10,bible,flores,si,1.3994854832928227,0.02342690594420065,0.32115650899790554,2.6468996227578305
gov,10,bible,flores,ta,1.4026820823449562,0.02909032189834635,0.32066879447045943,2.923453471029167
