model,none,train,test,lang,train+test
linear,13.239031099365514,12.928111355639885,11.135866659659749,13.000250366242062,2.9787642864750676
poly2,13.226055855263471,12.847650524697597,10.899269802612666,13.073077937885358,2.645557720489692
poly3,13.225347721726724,12.854301012268447,10.902836664437702,13.079144377995462,2.659352162577292
exp,13.2906405107175,12.960690069953127,11.151743777569315,13.108288229867265,3.1086291952268046
log,13.154731161375327,12.78416657882413,11.308232809318374,12.858153953492288,2.3130921810527423
power,13.15063433748197,12.799350744469987,11.215353035297326,12.886587087466333,2.3926432368789015
hmult,13.635308897367258,13.193735203693013,11.959050691758188,13.319755801334438,4.0547349665448085
scaling,13.150982617594682,12.789825845928878,11.20096612411462,12.885421049072539,2.3389677925074586
