train set,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
gov,flores,6.650566954255786,-1.238848150385014e-09,-1.796323799779428e-05,0.0014153990478467339,2.1936428289592182,0.00098844178026417,0.0017804646284285252,5.931930266175216,5.8251646681651135
gov,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.271685619876913,2.271685619876913
gov,gov,23.508552002306413,5.391258137016239e-06,-7.264613486005046e-10,0.0005537128626304148,9.638813894574112,6.898213348017267e-05,-2.2337621140151567e-05,9.907709938451362,10.083221229970643
bible,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2374092160353682,2.2374092160353682
bible,bible,22.978494935035467,7.613867808133216e-07,6.169463397759422e-07,-1.6132578130928581e-06,-2.514552399980971e-10,-6.806151823167074e-07,2.4866844532909606e-06,7.538401864344786,7.633495924598908
bible,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3576941236277535,1.3576941236277535
