,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,"[-1.0, -0.5, 0.0, 0.5]",0.27838821814150105,[0.0],2.080532814417935,"[-1.0, -0.5, 0.0, 1.0]",5.640921910468181
kfold,[-1.0],0.2792848008753789,[-0.5],2.1388007927224253,[-1.0],5.70460340426925
