model,none,train,test,train+test
linear,13.705141872582336,13.254454624954985,11.985595761704268,3.961275616090397
poly2,13.673997218668202,13.235774414865258,11.964737280520689,3.854752805118469
poly3,13.674209745145756,13.238055522822489,11.963133562895592,3.8512925859224167
exp,13.704738856129769,13.254312042125129,11.981257781648347,3.9504181864676418
log,13.706598632419674,13.255657750016951,11.987886516202837,3.9731743867419276
power,13.706283738004274,13.255580638938952,11.983602985322818,3.962448280700658
hmult,13.708776631475423,13.256293905271097,12.017045403385486,4.1118381953239025
