train set size,test set,c0,c1,c2,c3,rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.293389203326036,-3.843847992573626e-09,0.016848497582088943,0.2909403188832361,8.793049528910307,9.03321738492866
1,gov,6.104038870134953,0.20570066420094776,-2.0891984689508647e-09,-0.10498275756061168,10.31061464601331,9.7320528407732
10,flores,4.556177939783624,-2.1529408829969858e-06,-1.4526399305866767e-07,-5.840579198281018e-10,5.947565077117585,5.7264438642126585
10,bible,11.885587803742718,-2.5423060265311358e-09,0.0020526208346935016,-0.0001391321004131737,13.407225531312344,13.615261423444437
10,gov,15.449171116353277,0.0001448857785535943,-1.0729163700988892e-09,-0.0258229118322504,17.142068110466766,16.955967638975405
25,flores,5.307873095042484,0.29448882039196517,-6.9184595258526635e-09,0.3753916268931406,7.120162725084125,6.9922193295195845
25,bible,14.620441279499795,5.418360873941014e-10,2.65095909050173e-06,7.126180072195424e-05,15.110524304196721,15.41337532054043
25,gov,17.29282871683868,0.2535073917315074,-3.675114629699656e-09,-0.06017785948845496,19.005340438696567,18.82797756537056
50,flores,11.696469197668248,-4.89863773192536e-09,0.0001324521495409891,7.346812562834759e-06,4.237228470090872,3.5620319320094693
50,bible,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.838869240649345,-2.1550149291851723e-09,1.1377290676959497e-07,0.00035175615458912655,5.891048538799231,5.610767413586677
