,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,15.520695928654446,15.717920505990666,0.8675537820918396,0.0,
1,poly2,,-176.93142777039697,-176.73420319306075,1.0,0.0,
2,poly3,,-100.01163667982709,-99.81441210249088,1.0,0.0,
3,exp,,16.476869811813472,16.67409438914969,0.8178371097518626,0.0,
4,log,,-3.78715520709118,-3.5899306297549605,0.9997877039928719,0.0,
5,power,,4.882015843321035,5.079240420657255,0.9961811475744178,0.0,
6,mult,,4.882015843321035,5.079240420657255,0.9961811475744178,0.0,
7,hybrid_mult,,14.636637269965183,14.833861847301403,0.9013586602598149,0.0,
8,am,,15.520695928654446,15.717920505990666,0.8675537820918396,0.0,
9,gm,,15.520695928654446,15.717920505990666,0.8675537820918398,0.0,
10,hm,,15.520695928654446,15.717920505990666,0.8675537820918396,0.0,
