train set,train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3",rmse,kfold rmse
gov,1,flores,13.637565900287695,5.7633809915205525,-3.7086107972915694,-15.037262777461212,6.706683133276492,-0.6883736519848834,-12.324270396571398,5.442241783759734,-2.746371354702527,-95.99940932159413,0.7155417527999332,1.4310835117092882
gov,1,bible,1.5951457798275563,-0.32614957403498984,-3.731776039818552,0.4737398921389304,5.642450240493041,0.5831503508725243,-3.597946830533594,3.13135231779223,-2.8370098143457385,-54.44714987957901,0.17888543819998315,0.3577708762588794
gov,1,gov,14.258326936528432,14.053695528681622,16.602223435196002,17.784460081102683,5.015936284876675,-4.96136214554993,-16.269131684985446,5.215255115021995,-2.860881637156261,5.5063839429272825,1.2745587471748805,2.549117494007168
gov,10,flores,29.731101188803855,14.760616805910312,-31.804642782844013,-32.720340376070155,23.111894105720953,9.09220904385638,-23.759074260458267,-33.78018885783283,-34.83341499443878,-38.74708269606988,0.13416407864998617,0.26832815087656486
gov,10,bible,10.096604461749125,3.249881831702149,-3.8058995445969277,-14.355375783733509,5.655880857461356,0.044259175716401825,-5.070100874690706,-6.205219820908274,-40.85874993656278,19.746878430231426,0.3130495168499706,0.6260990336958776
gov,10,gov,0.5032457071793808,9.226874020895176,17.46426232813363,42.37630529275088,-2.484710487440519,-7.212224673009917,-9.893750412816514,108.98257229117459,-32.25718755324208,-65.95281040970923,1.1627553482998934,2.325510698966104
gov,25,flores,40.9301540350469,-0.5399034951365886,-25.198627517583056,-28.836929902749773,25.044956013461967,8.485995633693662,-24.600866293751228,-39.63240829692974,-43.78146356999047,-39.10964112040406,0.11180339887498873,0.22360681670162447
gov,25,bible,6.022278905309998,12.697065850960163,-10.382459249131475,-16.237758717151316,3.159870312736946,10.800340122992775,-11.87472937159231,-6.322267736430315,-20.946810958365543,-27.743147025744843,0.42485291572496064,0.8497058321587037
gov,25,gov,-3.3566303092642933,15.670543112046714,32.030242004044666,28.677132415711096,23.416535824524022,-2.1115857080862894,-25.61052564318017,30.916814840100198,29.849882032255838,54.56289285794599,1.699411662899839,3.3988233111165487
gov,50,flores,11.34521202400305,-2.3007806150862677,-31.896196926981972,-32.5422010225297,-0.49568548331630513,46.473459791252765,-36.08999560637423,5.603979450287197,49.12767841416315,-2.231193309263175,7.246576916478302e-09,2.614212929166939
gov,50,bible,3.2585059406579115,-2.898491776695022,-17.034124823031085,2.896735265717807,2.050311066240227,0.6830715292471434,-0.8664748984540895,10.291793149216039,-2.3016068342468405,-0.4404471765601267,6.010719926868216e-10,1.0675183323638286
gov,50,gov,12.374810888923596,31.667318187612338,43.997943812153515,52.67576230565381,8.890262013507112,5.077896986000988,-38.94400971473669,11.88612814154972,10.889293227627613,10.729473597399478,3.230590603002863e-09,5.107554075008125
bible,1,flores,1.8227982778241227,-0.7233338785969036,4.410248822071448,-6.733999969014009,5.204518016351822,1.0850797125302503,-4.526261800101689,-1.1261102667184684,-21.49028760107554,18.025166452006797,0.22360679774997896,0.44721359537296906
bible,1,bible,14.537443368108631,22.40391089719731,48.93776937705087,-45.313688919213355,4.64424835289449,-6.401429297450314,-18.627871817797008,-63.48939553676586,139.75802833436586,57.18588106411631,0.2236067977499775,0.4472135954987147
bible,1,gov,2.037606222442673,2.1165598209710614,-1.4816446644245795,-3.8315941788089987,0.5865704118044157,3.09437908222518,-3.8619522775428443,-1.4662145239729483,-4.068156413609344,-5.908313656768777,0.1341640786499873,0.26832815702308077
bible,10,flores,5.007197538643268,1.8037807871185392,-1.604996626391867,-5.5365763828532595,2.7859633881053956,0.2144147342900365,-2.654373236428111,1.1130372470332806,-2.350738573774318,-51.26356785327685,0.13416407864998742,0.2683281552473953
bible,10,bible,7.200818456614073,8.509493484372104,19.491360716087858,16.53847082717238,1.5493417342696691,-2.4395388448602633,-19.89454535525852,45.63874783731073,17.93651029302765,69.74511718922615,0.7155417527999383,1.4310835003040057
bible,10,gov,5.67616356161678,2.723286560842738,-0.8486921131464897,-8.010687005982401,2.9168128624750085,-0.10564603746255896,-3.031765783095315,-3.928236194009792,-33.62130456042813,37.06256613386309,0.201246117974981,0.40249223594999717
bible,25,flores,5.657626453203683,1.5956924612034764,-1.2055910458847,-6.3401563319840575,2.793256513991816,0.4494749407129678,-2.268361135321297,0.3427286043306699,-9.328589625620742,-40.71004374911887,0.15652475842498564,0.3130495147148729
bible,25,bible,8.739001821876387,13.188658416820148,15.88949587568732,18.497688424566,3.5667381442774837,-5.608869601983471,-18.23243016831796,35.408388534714675,50.097509843034466,60.19825952165901,0.6484597134749412,1.2969194267110773
bible,25,gov,5.107653883858416,1.2451302933545758,-2.0389437327658655,-4.94757406762274,2.612853025054485,0.07995805496376598,-2.680728097713936,-1.0107615072157712,-1.3590359438446926,-44.02139004620403,0.15652475842498897,0.31304951601684655
