train set 1,train set 1 size,train set 2 size,language to,c0,c1,rmse,kfold rmse
cc_align,25,1,ka,31.15024465613629,-4.877352460335601,2.896190468496962,2.9149792663303136
cc_align,25,1,gu,33.38675265770049,-3.604030774736433,4.710691478965528,4.758075138965114
cc_align,25,1,hi,37.544180265158936,-4.343534671697879,3.196403033040946,3.227302874704667
cc_align,25,1,si,72.99381200434738,-6.474609963692252,1.671975994048851,1.6809576668284192
cc_align,25,1,ta,38.965846657782336,-5.001410209661054,3.093503396217335,3.1074610308254913
cc_align,25,10,ka,46.78377909104125,-4.667653969388853,4.483030495801435,4.534003061571505
cc_align,25,10,gu,44.91276220184822,-3.4802531580150053,6.134072682529557,6.188968579327569
cc_align,25,10,hi,49.88571564518946,-4.242244556825279,4.191451483850837,4.25102924519741
cc_align,25,10,si,75.07764917410998,-5.8821812204359984,2.4629672351302463,2.475394694518827
cc_align,25,10,ta,52.28704749402356,-5.155330878322105,2.9101586254824934,2.928256929309564
cc_align,25,25,ka,52.21381309016022,-4.623421053652251,4.756234665248114,4.812756485915536
cc_align,25,25,gu,49.735526422221795,-3.500340532894361,6.424760165974276,6.4811052298940846
cc_align,25,25,hi,54.61486550822377,-4.277924742892801,4.306350973215835,4.366954732962876
cc_align,25,25,si,80.7601983524292,-5.825618865973361,2.562477534197864,2.5764792571580255
cc_align,25,25,ta,56.32870852081253,-5.019247122387818,2.8268501053924107,2.8475595211518647
cc_align,25,50,hi,69.02771285645679,-4.222203995151135,2.9824889836973956,43.51501518286168
cc_align,25,50,si,78.65358003185906,-4.706774285641858,1.7333928622434833,96.541172352548
cc_align,25,50,ta,61.749793197208525,-4.241717319267011,1.2318053979276704,34.453632461668455
cc_align,100,1,ka,33.21772038574672,-4.549371273693691,3.4817472020698244,3.5084929422518614
cc_align,100,1,gu,33.51347752595752,-3.4859894768040367,4.839838416484491,4.885630958821632
cc_align,100,1,hi,38.50560729349632,-4.149699630281152,3.656284052034298,3.6933522728315586
cc_align,100,1,si,73.02112858663428,-6.191071612967191,1.9657797172424127,1.9777083817655843
cc_align,100,1,ta,39.45391280861299,-4.712913133336635,3.4950350214090227,3.5126380334944103
cc_align,100,10,ka,46.81744123428613,-4.541702250749674,4.49644344042024,4.549025630073194
cc_align,100,10,gu,45.00565825918763,-3.3453819500311837,6.171248809419342,6.229833254036113
cc_align,100,10,hi,49.564184169968186,-4.05156646222069,4.441613087690296,4.505538344255411
cc_align,100,10,si,72.45106524275484,-5.416613266012416,2.7801673624374197,2.7987020177917916
cc_align,100,10,ta,50.98468647357982,-4.675047066816102,3.0984368761690972,3.11974946248082
cc_align,100,25,ka,52.45657147341505,-4.526781045826612,4.802431491708425,4.865797510299938
cc_align,100,25,gu,49.38208390375085,-3.383000429276304,6.31869276178578,6.376753279263794
cc_align,100,25,hi,54.643357747993676,-4.11587776676113,4.47666269822828,4.550012474126069
cc_align,100,25,si,78.82243349380224,-5.476591898053936,2.7769761788135066,2.797314967873091
cc_align,100,25,ta,54.54824697942029,-4.517854108227241,3.1735361956456423,3.197853586881422
cc_align,100,50,hi,65.55072436804693,-3.8385823476303815,3.4352179813917654,43.45476904976047
cc_align,100,50,si,76.92970252480451,-4.389985895267696,1.544792409870094,53.56218843446964
cc_align,100,50,ta,59.829621878983424,-3.8712047209911726,1.4529650919972388,34.075709683989274
gov,25,1,ka,32.42085844846574,-5.815425583573131,0.20440127714509013,0.2713750048152758
gov,25,1,gu,27.534442208055665,-4.020266231526965,0.3589422515726958,0.4863221826693536
gov,25,1,hi,35.41512103608178,-5.225012764385019,0.27080556331585415,0.36200496136450866
gov,25,1,si,96.01861546485488,-8.559886327083849,0.37936886636949324,0.4383441678157005
gov,25,1,ta,36.66675823034683,-6.411286891990953,0.34192995422608236,0.4129359014400179
gov,25,10,ka,42.448339743381204,-5.418534660314497,0.3445300209778874,0.4556104724128034
gov,25,10,gu,33.10303423530272,-3.019428260799626,1.8002650584039195,2.471467162857709
gov,25,10,hi,45.93471476057433,-4.9972514170560425,0.5645950679984705,0.7486898617817823
gov,25,10,si,74.09464094139848,-6.137031555172762,2.0983026689091924,2.4934136652656727
gov,25,10,ta,43.36821016432969,-4.911085356188895,1.9479987694527423,2.401147151142522
gov,25,25,ka,49.32587803596111,-5.750244160241666,0.2330402167873153,0.3064359864291244
gov,25,25,gu,37.51520367686369,-3.0351401428202203,1.955258268313453,2.682032499638144
gov,25,25,hi,51.85592142337482,-5.029205031805777,0.8942202669818663,1.1822847205228273
gov,25,25,si,82.83194429661063,-6.386466992245161,2.1750341635934487,2.5663686206200116
gov,25,25,ta,48.35353765986072,-4.800624517383609,2.249023723745746,2.7843932041708266
gov,1,1,ka,29.408600601461945,-7.097569972109884,0.2180152560079612,0.28232977670768195
gov,1,1,gu,23.755307027855785,-3.5031167620470067,1.046720104003412,1.4265135311260433
gov,1,1,hi,32.63377710697585,-5.032655573440109,0.47014252399848083,0.6293017388615254
gov,1,1,si,72.48092214670658,-7.295060272928878,1.036625335942931,1.2165749388317821
gov,1,1,ta,31.255592274225243,-5.619038874587834,0.9162174947728252,1.1171380283372132
gov,1,10,ka,42.712516588597985,-6.381728947474333,0.18290287388209295,0.237481332001774
gov,1,10,gu,31.671328028842378,-2.7576575622697312,2.5746642483679896,3.5457937969900724
gov,1,10,hi,43.94349429721293,-4.657369186843554,1.2816767828262934,1.703124145782872
gov,1,10,si,66.37978836032293,-5.444590561841797,2.6885173909392415,3.253103712683327
gov,1,10,ta,39.58589653545296,-4.265984371122518,2.7927486634290073,3.4935661733219847
gov,1,25,ka,50.248913506514185,-6.527579077678326,0.002288677279720472,0.0029706949189544944
gov,1,25,gu,37.259560687702475,-2.9392433857606504,2.655796456822375,3.6382860679617512
gov,1,25,hi,48.22578093987657,-4.5504048559114025,1.659444915687595,2.2068500623521228
gov,1,25,si,77.64405955452304,-5.8235971128015125,2.818155526800901,3.3676839889876637
gov,1,25,ta,45.59718678048089,-4.2870160411801725,3.0982695549302712,3.879391747785037
