train set,test set,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
gov,flores,ka,-7.962344586134907e-10,-3.765393247407499e-09,0.179901162319162,-0.006286815117107394,1.1712720924710498,98.23397829498685
gov,flores,gu,0.004008821009473623,0.035217595759209235,0.2502998723690037,-0.008794907335384482,4.341254770121214,20.778901439171708
gov,flores,hi,0.17582683082815095,1.8667609133754253,-0.06436593883489516,0.0006908808668022083,2.42340382757156,217.76624779883866
gov,flores,si,-2.5709711838406994e-09,1.0015534455327801,-0.027254144830404774,0.00024246421676237396,1.659028134099752,136.02462408557867
gov,flores,ta,-4.0791567426570483e-10,0.6448414576410618,-0.012747533744857943,8.701206192022939e-05,1.3712704690952706,107.42893256425583
gov,bible,ka,6.450845864238123e-09,-2.471242793339324e-09,0.021096180438790402,-0.0007345064158874681,0.17688612453418306,12.510249454186015
gov,bible,gu,-3.2647003440923412e-09,9.602390126553843e-07,0.05999736233072573,-0.0020922935363238467,1.2955809530567195,33.11802161660272
gov,bible,hi,-9.034726929593885e-10,0.0009131657591234695,0.011405268692771831,-0.00020163924213991956,1.1661014313502716,43.12131405078472
gov,bible,si,-1.4637386816017211e-08,-6.86476722096354e-09,0.0036478755502047304,-6.104507285423267e-05,0.32020324049164023,10.429339810378451
gov,bible,ta,-1.191441574544836e-09,-1.6955063422838555e-08,0.0038240945028958583,-6.374927246573196e-05,0.2865085632852248,7.895323377687403
gov,gov,ka,2.3153457026459683,2.0783963663814267,0.1477979691513698,-0.007190231983741432,4.310300035662659,24.602748080883067
gov,gov,gu,12.722811822554435,2.362266157246828,5.0666740345418144e-09,-0.0021678461411533062,4.340014890035953,507.86381089397247
gov,gov,hi,1.1452793693005296,4.992333735426899,-0.20408834950416066,0.0023693079276533905,6.889357262000971,116.09940003690811
gov,gov,si,1.4355762347594272,6.356643667918698,-0.25516545521298256,0.00294522486223818,7.089625362857741,129.6416363405257
gov,gov,ta,1.2012404203006344,5.341567987459145,-0.21813629880317628,0.0025429118922117126,6.692038856080593,110.87215161559918
bible,flores,ka,2.2149463531952474e-05,1.2449967909756541e-11,0.025581054182298276,-0.0008817619550146161,0.2836010120533801,1.0004791709133811
bible,flores,gu,-5.019422961167038e-10,-3.174045868935046e-07,0.057222722210420726,-0.002019719425128049,1.1242434653776472,31.929358450695652
bible,flores,hi,-2.3257267994543853e-09,-1.6545899181724336e-09,0.03690830096333486,-0.0012966717783301708,0.8476806583981201,1.595375259590752
bible,flores,si,-4.877218973805005e-06,-2.6350768608518827e-09,0.024262217152316592,-0.0008530000749380002,0.4558151269668944,1.021636003472768
bible,flores,ta,-2.535941718280465e-09,-1.6315131610489201e-09,0.022577440809309218,-0.0007745695220622551,0.45435193992850376,0.9672378484898079
bible,bible,ka,2.553970845234952,2.270533389976987,0.012123222576775965,-0.0024827329995796583,4.310418423112138,82.50946574476605
bible,bible,gu,6.809318781953638,2.0361309371533736,-2.482329555715496e-10,-0.001868813685416146,4.308496678897172,248.36956842115524
bible,bible,hi,8.981050163877903,2.100647317937378,-1.70641149130776e-10,-0.0018698714440377338,4.341800123424359,18.702985960814004
bible,bible,si,7.130894084104012,6.224092447568803,-0.4492216854117536,0.010016912674612258,5.016205768563415,199.99344017880264
bible,bible,ta,6.619856027361498,2.268578331213779,6.295971447400359e-09,-0.002043137770448336,4.285366914577162,133.85222634538678
bible,gov,ka,-3.6061082628686464e-09,-6.757876429167665e-10,0.010179231873573584,-0.0003426398246655822,0.18240749672023446,0.45887252153170344
bible,gov,gu,-2.681451183397709e-07,-2.0929735349021844e-10,0.035018264368869026,-0.0012147555915998983,0.6764619385832975,19.954247618425125
bible,gov,hi,-7.217113229792378e-10,-5.4389058916826896e-09,0.026176124153379582,-0.0009313509778831185,0.5666109222196699,1.1311352470388205
bible,gov,si,-5.11623608045261e-09,-2.5808422137457617e-09,0.010315856139153446,-0.0003545291794849233,0.23615501797873586,0.4868766406235862
bible,gov,ta,-1.4391587431036317e-09,-3.137654228976931e-09,0.008729694895002756,-0.0002974494719001469,0.18310086580340496,0.4126912875014995
