train set size,test set,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
1,flores,5.32110413405991,7.038222440106996e-08,-2.6472870232751922e-08,-2.9987121327185458,2.221595569317325,2.248155971052426
1,bible,12.857135673091474,0.00021661119687097614,-5.509540426957147e-09,-4.764381155658842,8.326651389619494,8.422403058242777
1,gov,14.730950202312693,-7.456515794915437e-07,-1.455350105718942e-08,-5.841851059608067,9.536996485689633,9.651396009814482
10,flores,10.622426142472454,0.00029253947123697915,-4.539394286782973e-09,-4.264805888623793,5.296417316073576,5.36247259105234
10,bible,18.35337841457702,2.3451398054414086e-05,-2.090615994000301e-09,-4.257816774243102,13.035761912047677,13.184260148222373
10,gov,18.466718120555534,-3.6245687744826925e-09,-0.251317633341767,-0.2929740292895399,16.942631462050958,17.13523200070895
25,flores,13.254207681702752,-1.4843892707861201e-08,0.015766162610427337,-5.827482956811145,6.364511621753635,6.452031670959701
25,bible,20.464559886315257,-5.9052978200346896e-06,-4.842360403285854e-06,-4.042018712083052,14.866127475602365,15.043337992984513
25,gov,21.57674273769087,1.1754455321204214e-08,0.18842298917646896,-2.0725694504246737,18.80964750726089,19.035898731822503
50,flores,22.721542569870753,0.001544661326377137,3.997303695355527e-10,-10.446419427644727,2.827690912131668,3.9337648972692065
50,bible,1.4120821860649264,0.6688261462012951,-7.740292911865954e-10,-1.3495089701103904e-05,0.8974824327035923,0.9753360765806044
50,gov,44.67303328030639,7.353847793741446e-06,1.0601509588850266e-06,-2.9170113160942788,5.2740443404892865,6.6524472213978205
