train set,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3","c3,1","c3,2","c3,3","c4,1","c4,2","c4,3","c5,1","c5,2","c5,3","c6,1","c6,2","c6,3",rmse,kfold rmse
gov,flores,24.503982680317634,-4.6618993621853725e-06,2.845458752233241e-06,-7.085332829326332e-07,2.68034033833216e-06,-2.72436477237569e-07,-5.442527435231843e-06,0.005346210856723195,4.4880084729915254e-05,-1.5042832524657114e-06,2.7430725026976206e-06,-2.654754524758568,-9.45585701169636,-3.250841180411904e-07,7.634286352694221e-07,-11.1647106846576,-6.400247931660746e-06,-1.3503006838060692e-06,-1.0851658310198477e-06,4.50124497916931,4.546587166110664
gov,bible,1.798778613525999,0.011463446680892643,0.004275154659175591,0.0022161711954369456,0.013729213220556822,-0.00013204268110271724,0.0033235355116709425,0.00032742981565695237,-0.002432723883158374,0.00011608485222711716,0.005155220259197962,-0.0073369161995730115,0.0016790231540293353,-2.829522647442943e-09,0.0003246047775750486,-0.011483296658660103,0.0011295782255049283,0.001411240313232392,-0.0011213228570245677,1.3186329083885557,1.3276423025747204
gov,gov,15.185250141109858,6.7672964711646015,-8.084050575070347e-09,0.1659749525364561,2.3871108497621556,-0.08218595054313269,0.02404861896543897,0.02191000266301945,0.08965461676202761,0.017810211685908944,13.835815425897318,12.416579544386241,10.483050317164144,0.08935823958399132,-0.007966036489420028,-9.939808666008494,5.190214509283012,-0.02833959225375409,-0.020054049373548117,8.814416866960979,8.928985571187031
bible,flores,1.215419594141449,0.20088954990475008,0.001308429929563367,0.0029578272955626895,0.00034138817017136233,-0.0019693559613786055,0.0019147979214807018,0.401677311883289,-0.00018410748421713707,0.0003977360089159691,-6.742032433911558e-10,-4.5003981521817515e-06,-0.004113110698539352,0.4797093626646896,0.001003004924563921,-0.0003679477320347736,-0.0015147107455094492,-0.0011491923161789854,-0.002342703529708307,0.9901676058522118,0.9894867675214132
bible,bible,17.461647907351,-1.2440679056630485e-05,2.6142024375801153e-07,2.0457677028732557e-06,0.00026208739452599985,2.606065040249088e-05,1.8158523593647766e-05,-1.7706732280140467e-06,-4.048820374731018,-0.0023140784378759193,10.6960127927271,7.431445068772469,5.1682240046845935,6.7183004040342226e-06,-1.2872887643257575e-05,-8.403205795296357,9.080781316651903,-1.278688945827578e-06,-8.876346639420597e-06,6.475627140825597,6.586263577038778
bible,gov,0.8158736388058259,7.564178224211866e-06,-2.0171092475874788e-08,-3.55282096618808e-09,1.2337488947157115e-08,-4.155224367763989e-11,2.7221119344555885e-08,0.06037098949831248,-2.1248856548630285e-08,7.055149513380431e-10,-3.031053117339413e-08,6.864334229193572e-09,-3.2427371801380786e-10,0.262943605441523,2.512157142115959e-08,-9.030408399606975e-09,8.063740312226532e-09,-2.6168939341911944e-08,1.46346664051377e-08,0.7449136685879745,0.7489273357508851
