model,pareto,rawlsian,1k,10k,25k,50k
linear,True,False,8.123734369357797,13.55515100860523,15.1781371606711,17.483893571806757
poly2,False,False,8.122184361465768,13.555010525075351,15.17783503928518,17.535484311507883
poly3,True,False,8.12099009855611,13.553952656753614,15.176835820500385,17.53399047318004
exp,True,False,8.121739615083635,13.557867613195018,15.18090254664133,17.519948307770527
log,False,False,8.125146815172245,13.556878642171904,15.180664938634838,17.534893595614633
power,False,False,8.124992385975917,13.559426692090696,15.182471615030732,17.559585128785915
hmult,True,True,8.125242421456868,13.558422855274625,15.182982652346071,17.4804795020514
