model,multi factor,multi variable,overall linear,sliced linear
linear,110.91%,89.99%,89.99%,100.00%
poly2,99.81%,80.98%,80.98%,89.99%
poly3,89.99%,73.01%,73.01%,81.14%
exp,107.80%,87.46%,87.46%,97.19%
log,107.56%,87.27%,87.27%,96.98%
power,123.31%,100.04%,100.04%,111.17%
hmult,131.56%,106.74%,106.74%,118.62%
