model,pareto,rawlsian,ka,gu,hi,si,ta
linear,False,False,11.585479525854744,11.953204961010632,12.851847715121012,17.318646859136464,14.06545191641294
poly2,False,False,11.65387326806257,12.037114183062547,12.96118476345742,17.227334287583968,14.211939142921771
poly3,False,False,11.58547290936144,12.037686079682658,12.98395675217461,17.213223677191554,14.136627175366812
exp,False,False,9.834478523828825,9.955371918385604,10.128572961124862,10.363063195236704,9.571371649216696
log,True,False,7.0055021509102176,7.145274016138942,6.695009145636889,7.947744151285552,6.699156067211496
power,True,True,6.5030300612905725,7.902064725675872,6.856008947995455,2.9989199327514857,4.312721622377442
hybrid_mult,True,False,6.786050695701315,8.940277762658281,8.018094926820275,3.129109331089936,4.288929147462935
