train set,test set,language to,c0,c1,rmse,kfold rmse
gov,flores,ka,5.349911884065465,0.04111785358352694,2.9361672668243064,37.61684535734961
gov,flores,gu,10.073141264536943,0.02875707070778746,2.397161868130195,9.845412368613736
gov,flores,hi,10.502384852670282,0.013026827845320587,2.7427721258885733,4.584260852917824
gov,flores,si,6.606668456838007,0.013777846610715551,1.9785147946528938,3.4985249495183943
gov,flores,ta,4.8571602189018845,0.01785184047884006,1.5388620047197101,2.7827037059217394
gov,bible,ka,0.6965241059474793,0.038022570352114204,0.3747806026573504,4.281378105730396
gov,bible,gu,2.6808733994645975,0.02452196346975257,0.4289517855132657,1.4462915871071995
gov,bible,hi,2.07023380415146,0.011819975977778896,0.754602222127219,1.3087432407120931
gov,bible,si,0.5777902210375285,0.0202125564919475,0.2526325595623552,0.5004293857675826
gov,bible,ta,0.5978845782086324,0.020792306693911473,0.22106388593349366,0.5186339409986074
gov,gov,ka,17.458317961650806,0.029042323101257674,5.5679213739836815,27.375488663320912
gov,gov,gu,25.19902956712405,0.017571295693191304,3.0562299816546514,8.975288147051108
gov,gov,hi,25.775512755127934,0.00819413981066217,4.431767877168325,6.896006474277717
gov,gov,si,31.517281679389274,0.010278307524172199,7.034770090027357,11.325668707674748
gov,gov,ta,26.838516977393972,0.009467839170314237,5.136676453549965,7.9874033061190595
bible,flores,ka,0.8970510246346366,0.03774305583127577,0.3824860121105236,2.8954667730361376
bible,flores,gu,2.4730952244079685,0.022896810342974513,0.5137864218500333,1.8499626013633546
bible,flores,hi,1.7390338335268647,0.02046842202230495,0.2706450242980034,0.8654921825330063
bible,flores,si,1.046281474466632,0.025687297619726886,0.26029375236180885,1.049756727173559
bible,flores,ta,0.990882912547619,0.02937820613683007,0.20506626031973485,0.7988916170740503
bible,bible,ka,15.243787662547637,0.025967146249711453,3.177661705172892,11.891324687648549
bible,bible,gu,18.169707160725213,0.019169650925189533,2.2051688731498857,6.582829132324736
bible,bible,hi,20.570442773171724,0.01914466993335102,2.351165455331296,6.940446713918575
bible,bible,si,24.463502597540614,0.01942566520348241,3.313306252916374,10.13968943098005
bible,bible,ta,18.657711014520764,0.022051641185912404,2.701678109814743,8.634849017467252
bible,gov,ka,0.4385235350804602,0.0345541727782384,0.13891605187838102,0.7372711477026201
bible,gov,gu,1.496779755735772,0.027868163989596795,0.31836541603817925,1.2299979706429625
bible,gov,hi,1.2266042600338882,0.017460849448806142,0.24925403311391633,0.8367180924536246
bible,gov,si,0.5059848838865736,0.02474567409523844,0.11360139849438686,0.4316839882819365
bible,gov,ta,0.41168057456829016,0.028406334157586224,0.11561448117766113,0.5169371477558103
