train set,train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
gov,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.107641334314694,5.107641334314694
gov,1,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1410521460476728,1.1410521460476728
gov,1,gov,16.61206507730992,1.0723904016994051e-05,2.9428099876011897e-05,4.955266221207134e-05,-2.719770324609347e-09,-2.7523174744877043e-05,-2.97525602638086e-05,4.518505645374203,4.581164945336452
gov,10,flores,9.594703422791792,4.4093146474084466e-12,-0.004377272615873179,1.0880924287689003e-05,0.009631738823758857,0.008724737196912436,-0.0007002012305741443,4.103502393077389,3.4480108205991904
gov,10,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3958297101421877,2.3958297101421877
gov,10,gov,25.269282722603762,0.002302429419297382,-0.0038934957292948804,3.82737457947927e-05,10.289204446824815,-2.9964558382555865e-10,-0.0014432169506526384,4.044903371229237,4.0683429361475465
gov,25,flores,11.793573924119263,5.003213316461664e-07,2.699500308153541e-07,-7.620439189752184e-08,5.703353642311295e-06,2.8234670129524254e-06,-6.103985782296137e-09,4.618645913103393,4.082222854416196
gov,25,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.874369496080836,2.874369496080836
gov,25,gov,27.651379908877967,2.3766790606413758e-06,3.247486751458517e-05,0.00519969370745832,11.300448876927598,-1.0711288324264896e-09,0.0073095974432725395,5.010786682806301,4.656086072051408
gov,50,flores,11.696611568504029,1.0375633560703325e-05,3.053631690414761e-08,-1.3362739264563908e-08,2.9587447050370947e-08,4.212911920674731e-08,-3.4119652103332546e-09,4.237168364314616,3.8332188927400956
gov,50,bible,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
gov,50,gov,29.231775602080134,0.0013262210445215011,6.56175959313192e-10,0.0014042571893085323,14.260716965557085,2.3558299360983734,0.00038392999502818954,4.569393777905176,4.113574616039415
bible,1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2473972903610142,1.2473972903610142
bible,1,bible,13.913361711246601,-0.01194196812325528,-0.011540687638759654,-0.005136108652667262,0.09462773471894795,0.9284553816959955,-2.4513130188945295e-10,3.992524414216071,3.8893329241237544
bible,1,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74565407529229,0.74565407529229
bible,10,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4240462041801103,2.4240462041801103
bible,10,bible,19.47615987232473,0.0022102081848667347,-6.942868130041341e-09,-0.0015647796522030833,7.824949288089183,-0.02672393428462638,-0.003594921015132562,4.348515938705596,3.7480047206964806
bible,10,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4676511847165867,1.4676511847165867
bible,25,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7542694131112158,2.7542694131112158
bible,25,bible,29.51664437334036,1.309771858755206e-09,0.04893462720747093,-0.005751718211095912,0.008747089352145741,-0.06419576869287126,0.041580570883129,4.359939286728408,4.705518568271077
bible,25,gov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6792855623746665,1.6792855623746665
