model,none,train,test,lang,train+test
linear,13.238804123989723,12.926982681860085,11.140398047063982,13.001415281787146,2.968208785191926
poly2,13.20915642328758,12.818284144394255,11.121785052842263,13.041360570595122,2.456126236930537
poly3,13.170580030006136,12.791483881568368,11.353203914887013,13.060215240783318,2.3130336356667285
exp,13.290522393949413,12.960650817795093,11.15105611826579,13.107878852511154,3.1048060971115294
log,13.154253160456204,12.783512384359668,11.308446883551335,12.857821642212636,2.307728516497171
power,13.150389830603638,12.798852091483095,11.216540321927162,12.890792370199463,2.3871099209292383
hmult,13.635115316467324,13.193524203891153,11.959265910677914,13.31963632544626,4.048864876513397
scaling,13.154095800251028,12.78232368839802,11.201100870885625,12.892234544344666,2.2995400801055754
