train set size,language to,c0,"c1,1","c1,2","c1,3",rmse,kfold rmse
1,ka,16.381794868115513,-31.85659384189665,-7.297842949705955e-09,-0.0238359641848019,1.258231810177075,1.4518897442435283
1,gu,23.157339232545084,-26.244053869688397,-24.6219982054359,-1.5778484732194877e-08,3.198132658413584,3.537970487918356
1,hi,25.876518474622742,-47.867011440795416,-4.16672815218851e-09,-0.16315348777650795,1.5863196280176224,1.7642244519473644
1,si,27.191365587761098,-38.66107284753319,-15.081034234803111,-4.82455613649266e-08,2.1887713878629995,2.0332711335628613
1,ta,22.428287962548243,-38.68030738827496,-2.526005860392201e-09,0.0008069734075828239,2.3863903146201375,2.4856443382319626
10,ka,33.981127212174385,-63.92984031194204,-1.073239840273482e-07,-0.00014268134051782636,3.0499295173497116,3.3508727430958376
10,gu,33.687358514007244,-40.46275791321862,-34.80740372591753,3.020648164341531e-09,4.169431400858672,4.562554247290242
10,hi,37.6675279489801,-68.5611348729639,-4.846335493222475e-10,-1.3518671347517393e-06,2.6089332616808294,2.86999209033486
10,si,45.86438959668049,-83.81847809580877,1.169396627998881e-08,3.6021138066425364,3.5959443766496033,3.783259759304013
10,ta,35.80486147937628,-64.18077851043441,-3.023532153827527e-08,7.24751663525685e-07,3.4844962462678257,3.735453483701816
25,ka,38.604352166227436,-72.60721459480246,-0.00036637905464179484,-1.726932354056404e-08,3.0715838974495564,3.3644785816963516
25,gu,37.33509927295447,-41.362793454393135,-44.8906274538309,-2.0716384041769496e-08,4.412742684054381,4.81281994841278
25,hi,40.19072682614967,-59.26475179281809,-27.636970684906437,-7.631845811793267e-09,2.4619082407120465,2.6249754844995623
25,si,51.95225562936896,-98.52667892736324,3.777818356008612e-08,15.796922700172477,3.690451928176886,4.042549960913894
25,ta,40.06416876239502,-71.46636328576429,-4.5145870957341975e-09,0.002473550272993155,3.339467785998452,3.573662592713459
50,hi,48.62301595775385,-88.00946494681365,5.294271603273963e-09,-0.12249431102570968,0.463062465371799,2.2023142027044558
50,si,58.28392668180481,-111.86530309211196,3.9706660176168596e-08,34.27884567480402,2.5377844433902146,10.350568658900213
50,ta,46.607921147987,-80.81492992127042,2.3213170409430245e-08,0.980403657852456,2.574354495009901,7.295667940443731
