train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,c1,c2,c3,rmse,loo rmse
cc_align,25,gov,1,flores,23876.355726773087,-3.3722689966310595,-4.796045359088064,-4.663453067392765,0.23364536586546464,0.3318036353709329
cc_align,25,gov,1,bible,66790.22157875555,-3.970154099757255,-4.971198231798305,-10.992099097113899,0.172286678243494,0.22360679772085615
cc_align,25,gov,1,gov,25.768167666870504,2.084798002857867,-1.7112173539602071,0.7685108311997344,0.2654891794104891,0.5432817011999459
cc_align,25,gov,10,flores,5375.054748591118,-3.726012877395732,-2.079761091806287,-5.178692686969745,0.035530347942512606,0.055487612774994456
cc_align,25,gov,10,bible,1404.8355188548912,-2.9002672360912594,-2.900267529024867,-5.1209929570589265,0.59389763587876,0.8037422119124236
cc_align,25,gov,10,gov,22.3460759180132,1.973376746608497,-1.3899633234944502,1.6996919821267893,1.022844803251991,2.212818341037431
cc_align,25,gov,25,flores,3502.3427834450795,-3.6635920806275273,-1.6259230160075977,-4.94722175506059,0.05150636101263056,0.08244719917038641
cc_align,25,gov,25,bible,320.15377789863953,-1.7410965488768406,-1.7410964381205734,-5.365314251289665,0.6795884405900063,0.9724028948306781
cc_align,25,gov,25,gov,21.571227699459506,2.058435244147147,-1.306435068510004,1.716066453460678,1.3209096074048727,2.902353246964368
cc_align,25,gov,50,flores,8.195393161516927,-3.8828677173003747,-0.6016852072664189,8.462652406685164,4.291101429484759e-09,3.683685328834104
cc_align,25,gov,50,bible,2.6689508511048134,-4.446857960059531,3.3647218969352695,-1.0638240648399562,5.598844697520494e-08,0.20549564123238342
cc_align,25,gov,50,gov,6.499554670436377,3.004040385925752,-1.980128862349039,5.054947725622966,8.069703565232353e-09,8.161884371571162
cc_align,25,bible,1,flores,10851.182015053266,-3.298004156240234,-5.061048996397868,-5.883436801711483,0.31917864787615324,0.4161030845086564
cc_align,25,bible,1,bible,23.640313171761207,1.8146773248215835,-2.585464464314228,3.0082393476618456,0.15013461840445572,0.293716845794505
cc_align,25,bible,1,gov,1774306.4407815326,-7.07172023128437,-8.319498129697113,-7.29445360578271,0.08931771564858217,0.10621322883852491
cc_align,25,bible,10,flores,1132.9450270068173,-2.599658773052238,-2.2320633823552725,-6.532820118403064,0.3087346249473879,0.4594103299226846
cc_align,25,bible,10,bible,19.977773932403135,1.6467495637680263,-1.8898113986280956,3.096679404959809,0.4318352939254156,0.8811059349628263
cc_align,25,bible,10,gov,67552.66741464043,-2.310900620435013,-7.136166236404241,-7.161406810048871,0.21236545813344473,0.2832352771487654
cc_align,25,bible,25,flores,262.1626620816503,-1.8808490098772825,-0.9040983385923538,-6.791773576040012,0.4171597578506542,0.6471443793705278
cc_align,25,bible,25,bible,21.65338712351102,1.4257648464693358,-1.5771546611676264,2.795741609638012,0.5327525499970249,1.0889163434354054
cc_align,25,bible,25,gov,8559.119884579743,-1.8158182605641058,-5.062217109829095,-7.003111670551701,0.2671029335949168,0.3726779962487632
cc_align,100,gov,1,flores,5965.2353193200715,-3.318925154127674,-3.447922588907316,-3.9443486081828527,0.237569527341685,0.3523374401865867
cc_align,100,gov,1,bible,10130.725965639569,-3.2136218095683415,-4.00290348258035,-8.876408750873649,0.1513830417739042,0.21045345670535578
cc_align,100,gov,1,gov,22.575091457047325,1.7039641258260214,-1.36459485707743,1.012591831518267,0.056377622497461116,0.1157381107667279
cc_align,100,gov,10,flores,2855.867909499344,-2.9568829775151704,-2.159764645182377,-4.178437226255992,0.21109727286386792,0.3345258759559015
cc_align,100,gov,10,bible,125.44009279476838,-0.08193393347523471,-2.597767778699071,-3.135331822354776,0.6073626150402823,0.9185079230652979
cc_align,100,gov,10,gov,21.2571205353712,2.0178806319071567,-1.3591925436438757,1.732453166584973,0.8841489623501511,1.9106630099633852
cc_align,100,gov,25,flores,1649.4364116028491,-3.017756093532219,-1.490524873947733,-4.006872380322871,0.34173890208931706,0.5524807956714899
cc_align,100,gov,25,bible,37.42304707296784,0.2538826004050004,-1.4337974488360756,-2.9832113633482162,0.7201592017583994,1.1253142100719877
cc_align,100,gov,25,gov,19.34282457404074,2.1297114381540148,-1.2875306359144716,1.8802635918081807,1.2683237500361468,2.7957701180516916
cc_align,100,gov,50,flores,8.203260732893769,-3.9873107500479494,-0.20339688248803992,7.930682832754248,2.5846320587555632e-08,3.8322231060446184
cc_align,100,gov,50,bible,4.110788538775304,-2.392296898001236,1.502822058652825,-0.056109410817914485,4.922971390816237e-09,0.015497565059949424
cc_align,100,gov,50,gov,6.491182321022459,3.110554235843279,-2.0353508008165546,5.042529564028609,3.582721860189712e-09,8.204628936879093
cc_align,100,bible,1,flores,3500.160870288366,-3.2683565137259643,-3.786770939784055,-5.755819133536131,0.32292249035763265,0.43648046920795885
cc_align,100,bible,1,bible,21.886688785233442,1.6707437458898171,-2.450166728465286,3.18634545880094,0.09351361906519831,0.1847579399590702
cc_align,100,bible,1,gov,319633.54920408234,-6.423956549121935,-6.423956465591236,-7.819495099736413,0.12485112745333828,0.15404023844998532
cc_align,100,bible,10,flores,171.14466540148098,-1.3697100785295324,-1.073404504078482,-5.751261920097118,0.41683375781804327,0.6611509101039927
cc_align,100,bible,10,bible,18.775143148420558,1.7306335313150545,-1.8670381585840126,3.120881320076728,0.5112596678953727,1.0523691756080922
cc_align,100,bible,10,gov,1585.5497206940493,-0.6107139659069485,-4.427111545489012,-5.6984162178630875,0.3326400679192475,0.4829906831399552
cc_align,100,bible,25,flores,115.2463388643059,-0.7684364767582805,-0.768435918887991,-6.121866073658448,0.48849992442908075,0.7900773520499266
cc_align,100,bible,25,bible,23.374768370094632,1.3333558540584853,-1.6020959224986453,2.8237092373070607,0.5612806210554842,1.1405998123760814
cc_align,100,bible,25,gov,188.79784695681835,0.6221201041703954,-2.6453551572673737,-5.9934825210149505,0.43601401394436523,0.6691003409595532
gov,25,bible,1,flores,30617.346498115938,-6.400967653076532,-2.382781181727514,-10.304917974598853,0.20332084844910514,0.2772724292099734
gov,25,bible,1,bible,27.69641385034944,1.2547430950354814,-2.238560420223234,2.618216538608448,0.48951344691122295,0.9726895702124104
gov,25,bible,1,gov,13538.661822039288,-5.560116120883833,-2.3371534160049015,-9.309543720355975,0.18193784964018406,0.2545677389768984
gov,25,bible,10,flores,4709.181256809925,-4.156167271528856,-1.6875468222439014,-8.95639639962388,0.13983626018912226,0.21272862921079053
gov,25,bible,10,bible,22.570631535374176,1.5252901422200238,-1.9659411999503686,3.1612235837077356,0.8429588893822859,1.7284884479078861
gov,25,bible,10,gov,7.928400920732079,3.933150073946045,-0.9653227384576203,-4.62266408061822,0.2886751820216886,0.6359159175035987
gov,25,bible,25,flores,2611.8556936580862,-3.586008880603388,-1.0262310026571204,-9.685111211703283,0.24890579897260692,0.3860159455894374
gov,25,bible,25,bible,26.81432071848866,1.1472083104479567,-1.5991592826996466,2.7062878553446237,0.5620777780258124,1.1303426198186983
gov,25,bible,25,gov,7.630164618801228,3.973794942112121,-0.7292091365083966,-4.925719286945092,0.6927404109426853,1.3927509116998689
gov,1,bible,1,flores,2473160.207805214,-6.212288960080925,-7.682980648006394,-9.825164319182539,0.3143637151051589,0.3694373180217038
gov,1,bible,1,bible,30.88773841749408,1.8836281860060402,-3.0311849146467718,3.091800542354339,0.264889966592212,0.5084892704633474
gov,1,bible,1,gov,327.14709049276246,1.578078077289319,-3.945956033781679,-5.322203679207589,0.4654776907268594,0.7325050271120004
gov,1,bible,10,flores,3659.041331041208,-1.601967662651636,-3.819490706193681,-7.004953790091234,0.23956101659689288,0.35908621039062405
gov,1,bible,10,bible,26.799341813822444,1.7088334988212421,-2.3173583046401274,3.221760597324269,0.3627722858379951,0.728319284099929
gov,1,bible,10,gov,3.6952491627478214,6.0390106221225155,-1.8088790981537288,-3.2021912457531947,1.0917370007566176,2.2246843587052454
gov,1,bible,25,flores,2261.705314568789,-2.156843965833983,-2.4828704779114337,-7.956319343342201,0.3295486231227585,0.4955610112295869
gov,1,bible,25,bible,25.44951229666971,1.5281803470431012,-1.8059601856584204,2.7505536527479313,0.4769659495802873,0.969525323074438
gov,1,bible,25,gov,5.150266651703317,5.367384470602198,-1.6810699593553815,-3.1620698106416993,1.534567067601877,2.8276095970012904
gov,10,bible,1,flores,108718.73280362802,-6.452027739314299,-3.9302846914173606,-9.880903654990396,0.14963530848411355,0.19677398201998192
gov,10,bible,1,bible,31.287824786783645,1.1182482034594885,-2.2326164361802654,2.427967251388427,0.45995658166690506,0.9060216175499207
gov,10,bible,1,gov,15807.705372263123,-4.417964117161027,-3.39248258263543,-8.677544815833382,0.2177170671596022,0.29979874364905
gov,10,bible,10,flores,2755.6813590972924,-3.508600929159724,-1.7568470056259011,-8.37443516227851,0.1904306585377526,0.2906888370749736
gov,10,bible,10,bible,25.810027526266122,1.4552853407898414,-2.0085571556139574,2.982036024605373,0.7382375307610988,1.4993591755178404
gov,10,bible,10,gov,7.977301210078296,4.8040809121411785,-1.930600480645334,-3.3410159857265014,0.5172473006522248,1.1047127327137276
gov,10,bible,25,flores,1107.1257228579975,-2.651533016373629,-1.1110145489763443,-8.541305340380848,0.2740072496936264,0.433091060857694
gov,10,bible,25,bible,22.83188144687396,1.333904893699082,-1.607094157129353,2.857353054524172,0.4955691053470405,1.0049152557705552
gov,10,bible,25,gov,2.6277226434312775,5.385031789685449,-1.19715955993781,-2.894670800396877,0.8185725991009258,1.732952682562336
gov,50,bible,1,flores,5.888318797478954,-8.823892016470364,2.231435972643674,4.238484609853999,2.5600117222886978e-08,0.1621063163745458
gov,50,bible,1,bible,8.196378827637439,1.7887921276866203,-2.819513965696818,6.261867801438208,1.0956470831712902e-08,4.614357576994564
gov,50,bible,1,gov,5.22246965123894,-7.308875336359509,2.0763942176578962,2.8149105952456472,3.434150088146334e-08,0.1122417032002454
gov,50,bible,10,flores,6.02607941498551,-5.020919306616326,0.4255957017608909,4.165819934832159,4.4800521643304975e-08,0.3225811888675341
gov,50,bible,10,bible,7.598423350193086,2.0741770900488516,-2.4720595908856047,6.247865732192004,3.110143671258512e-10,6.738628507879654
gov,50,bible,10,gov,2.5267511259911157,2.2738984362973182,0.16807124085178277,-1.668962918126458,1.743015242289603e-08,0.19475577988917364
gov,50,bible,25,flores,4.755095857189265,-4.446858143693891,1.4841998495504638,1.7235222697584258,2.3257948471404337e-08,0.14091452028139242
gov,50,bible,25,bible,7.6579964127070586,1.6941815188547726,-2.07040144222869,6.154400608721951,7.834301634671397e-09,7.409745459732465
gov,50,bible,25,gov,1.8161922652853721,0.8701137566162761,1.5415068462776025,-1.7860177409439897,1.3228578846748758e-08,0.47335348662197174
bible,25,gov,1,flores,9189.630416926828,-4.358907468360185,-2.5768507894524855,-6.610154645255087,0.08833599150212598,0.13416407865008362
bible,25,gov,1,bible,497323.05278745736,-6.143109548380752,-5.071585492639682,-10.140510648267812,0.44256857238732417,0.5549514162107043
bible,25,gov,1,gov,19.203104957192455,1.5597002642196394,-0.8586932335961095,0.14392827268761468,0.16061942024541917,0.33838427718620867
bible,25,gov,10,flores,8375.673937362879,-4.422466361842544,-1.9763628807819353,-5.8339130459609185,0.2903934433529098,0.453257022466177
bible,25,gov,10,bible,686.3979984909798,0.45171873756301956,-4.548663469931063,-0.8303431953280732,1.048254319008913,1.6510966226717185
bible,25,gov,10,gov,20.221841460465967,1.9825945187051732,-1.3420852413716915,1.812607904407016,1.075106050181148,2.3371051231497812
bible,25,gov,25,flores,4580.736124315815,-4.010302859528424,-1.6769390432043314,-5.180276798951638,0.08593849425103312,0.13599477757896308
bible,25,gov,25,bible,197.12040654168533,1.9249350352363601,-4.501800964498988,0.4619124846840161,1.2955103500150942,2.1727127181372974
bible,25,gov,25,gov,16.465682889730843,2.2068574905907257,-1.2359689978290544,2.0199084678155317,1.5661684472796336,3.5144820142910693
bible,25,gov,50,flores,9.017466238641457,-4.372138060046358,-0.9289374884372494,9.444649147673115,1.0011610495667736e-08,3.72431413414628
bible,25,gov,50,bible,7.74515047703386,0.08163310653737368,-1.582240040377623,4.593921329644113,6.14536034295225e-09,2.005535077150963
bible,25,gov,50,gov,6.34246139378987,3.169458136477707,-1.9243286814873928,4.722397348542059,4.016624799149078e-08,7.674988944502732
bible,1,gov,1,flores,216533.46086174014,-3.269254544750323,-7.361266191009085,-5.397888452197067,0.5909324339959034,0.7681551169763973
bible,1,gov,1,bible,145314.54345717854,-2.3815909127514145,-8.239296171738467,-3.850884210759577,1.2622080869964853,1.562452499256164
bible,1,gov,1,gov,34.56796200784077,2.7539194622784966,-2.630889311414195,0.8481045955999585,1.7347281280936435,3.275895769649689
bible,1,gov,10,flores,25011.009322464208,-4.204949401181081,-3.504944005854833,-5.487639176882004,0.12213024374711155,0.1776601954725778
bible,1,gov,10,bible,334.78777288951113,2.12972410509953,-5.366882253862951,0.0708167787055816,1.5077727426870926,2.3832156766642876
bible,1,gov,10,gov,23.134495302758253,2.0703676229741093,-1.6068420951824023,1.9138598129861082,0.6932093348781946,1.478304816925946
bible,1,gov,25,flores,9368.455913760863,-4.19428463134585,-2.3045225913310508,-5.384335127233663,0.026857520382215387,0.040994579587492225
bible,1,gov,25,bible,128.22602630047464,2.901833556310423,-5.003468088961619,0.7027054141632447,1.4802205118314988,2.4672869215561515
bible,1,gov,25,gov,19.498816775940043,2.0907919188682054,-1.3067444989715904,1.8918329129000653,1.455674686008037,3.2210944744845964
bible,1,gov,50,flores,9.167903469862495,-4.324209178111324,-1.2188981901705795,9.94315299829069,6.9911064311216105e-09,3.807873544008892
bible,1,gov,50,bible,6.608357933616052,0.7333127341308978,-1.2921172660649674,2.8177936331141082,2.1280102230085253e-08,1.1343140751881275
bible,1,gov,50,gov,6.509468814204688,3.0740389459345527,-2.05621201638244,5.087205648678581,2.2833219757570754e-08,8.09592487483763
bible,10,gov,1,flores,22599.392235135714,-4.884599722455908,-3.250389570914536,-6.68748273178276,0.05146216820116195,0.07412718500743563
bible,10,gov,1,bible,783235.5935431576,-5.432242945328714,-6.444580169900786,-9.011440829030567,0.6422927053311774,0.7777627747825363
bible,10,gov,1,gov,20.03234010473737,1.671574736874196,-1.0878312998408106,0.3517196365938995,0.01678871651470321,0.03488266044899169
bible,10,gov,10,flores,10524.79993632913,-4.669136258178783,-2.0237190274027084,-6.018158088109557,0.07269948192679648,0.11119905617840968
bible,10,gov,10,bible,851.4127538618508,0.7237645905972052,-5.136959077384816,-0.4732627488606374,1.3841854013555994,2.1200341797484494
bible,10,gov,10,gov,19.60510622831266,2.0695339722968513,-1.3639969408978134,1.7979473194688436,0.9524153105922053,2.071393064765433
bible,10,gov,25,flores,5361.610664904468,-4.136406867276101,-1.6755838278546156,-5.474132872099563,0.0050874872898455294,0.007985957062496638
bible,10,gov,25,bible,255.59405442558636,1.9444920963227383,-4.923538152613045,0.6299937585231998,1.1701857236278423,1.958324797136665
bible,10,gov,25,gov,17.935936846111936,2.124513679137023,-1.246127227565039,1.9299775914443924,1.4611199181965675,3.249154133953277
bible,10,gov,50,flores,8.946074418668413,-4.324209177886063,-0.8552217486698527,9.186115522802156,7.247374987993323e-09,3.576933436333042
bible,10,gov,50,bible,7.469574178010337,0.0858374368490874,-1.7720645670720925,4.980266242450371,2.83821489046477e-09,1.9833167334331987
bible,10,gov,50,gov,6.441612469533968,3.094220591402973,-1.9530875216826384,4.856145890306722,3.4691118829199777e-09,7.843432480935799
