train set 1,train set 1 size,train set 2,train set 2 size,test set,c0,"c1,1","c1,2","c2,1","c2,2",rmse,kfold rmse
cc_align,25,gov,1,flores,218.4633720873679,-999.9999999993596,781.2584199144437,391.2550710106177,-407.09469997385366,1.0156072906014242,2.9048828128004125
cc_align,25,gov,1,bible,234.69773659783618,-999.9999999999997,952.1741736267144,115.62137750969988,-116.38832992907919,0.1504679260294524,3.9656447060186664
cc_align,25,gov,1,gov,141.8264281207305,-999.9999999999999,939.1061104983739,638.7603552687954,-672.4978243132527,1.4354316427986038,2.118948661331171
cc_align,25,gov,10,flores,236.09330769392457,-999.9999999998809,643.049004402758,481.29688166815623,-497.8629934946869,0.5923916225868834,2.3629474563996804
cc_align,25,gov,10,bible,254.30947203598743,-999.9999963133354,969.4708989332146,15.672080642805938,-9.237840472729836,0.4761499570852497,4.4969526341525174
cc_align,25,gov,10,gov,84.77619547396513,-984.3583729381115,999.9999993517536,868.2967519575917,-932.8797168206974,0.9934738355801879,1.0619207678698128
cc_align,25,gov,25,flores,243.45666204628722,-999.999999999936,632.596522366512,467.4150855243324,-483.7203742321442,0.4074889808097029,2.375025781322928
cc_align,25,gov,25,bible,254.41918494812649,-999.9999999999999,961.6618161758211,23.146065027630545,-14.79263968974581,0.4709903151855769,4.471348291411045
cc_align,25,gov,25,gov,65.85001155894145,-966.1583556930962,999.9999999446991,930.4841283940297,-999.9999999991605,0.8757518444437757,0.8780343125086402
cc_align,25,gov,50,flores,81.11598163232112,-44.6786662529853,-155.29214686672398,-25.351210318394344,23.634569161156325,3.933102435420536e-09,8.050721351298767
cc_align,25,gov,50,bible,22.109008490542777,-25.158364569908304,-35.01711993904906,1.7223721135948729,5.655979294672286,2.3612442026514644e-10,2.187253646871822
cc_align,25,gov,50,gov,-141.29143899641488,305.33286099922606,286.9992204351019,-88.02717243190062,22.28197336815503,4.625308330630361e-09,21.721644148033157
cc_align,25,bible,1,flores,241.5339091212525,-999.9999999999711,970.4096104535041,69.52243317067067,-68.83354317598804,0.3441995258499673,4.209221217360268
cc_align,25,bible,1,bible,151.65670764599534,-955.2930433634716,999.9999999995166,433.7587044726885,-473.4026087891814,1.6962480741554329,3.0006446785366294
cc_align,25,bible,1,gov,240.28355454692667,-999.9999999999999,979.1081462090505,65.72584030042906,-67.80586404241573,0.22433579891165772,4.196184163383301
cc_align,25,bible,10,flores,240.88050724250695,-999.9999999999999,935.7674873683633,111.03316638927815,-110.07126999337824,0.250992756709591,4.011057168327303
cc_align,25,bible,10,bible,117.2793996261793,-885.4046942000494,999.9999999805369,489.0318539803224,-542.6242833426468,1.5765333723464865,2.6658383336848264
cc_align,25,bible,10,gov,227.66552444857302,-999.9999999999941,939.0129358159886,163.10536095068645,-167.03165330580705,0.34616086350810116,3.772130707728389
cc_align,25,bible,25,flores,245.8839690290402,-999.9999999986778,939.9557128958688,83.51690835550838,-78.85754896057938,0.21369823743971497,4.148748467317392
cc_align,25,bible,25,bible,121.68971995737554,-869.1466867099484,999.9999999911903,453.2501617904764,-505.8362538236405,1.4555835961775545,2.725932069278951
cc_align,25,bible,25,gov,229.56582536057675,-999.9999999999986,935.1384920658285,159.07258455699716,-161.56589647945603,0.3393664046035454,3.7943261889788844
cc_align,100,gov,1,flores,233.24208375964332,-999.9999999985772,801.8736219681953,311.1518331691877,-323.9064703913429,0.8749417649366728,3.2070518806661954
cc_align,100,gov,1,bible,234.58933000231272,-999.999999999997,952.1714448285721,117.79550272862902,-119.25569866273531,0.1508506828405014,3.9530878985271243
cc_align,100,gov,1,gov,161.07338845065956,-999.9999999996775,984.2996832592773,517.3810914561253,-548.3774847085858,1.1484137010884994,2.3901454508932987
cc_align,100,gov,10,flores,234.219039241758,-999.9999999999999,664.780862652468,473.43429379277325,-489.9422939606638,0.8460143839610753,2.487220328856422
cc_align,100,gov,10,bible,242.32813417852222,-999.9999999998624,972.695239784593,67.90669357058587,-64.40781647191237,0.5741930528757867,4.269106924103402
cc_align,100,gov,10,gov,83.93895544709632,-969.8630888837868,999.9999999999989,842.6372865761881,-904.8912039858461,1.1011906075216373,1.2091229612031837
cc_align,100,gov,25,flores,258.47547515240103,-999.9999999999999,685.7644096591391,350.5914405670717,-359.3237668920423,0.6535961176216526,2.9849115064404503
cc_align,100,gov,25,bible,249.87504612675,-999.9999999999995,984.4908478329727,22.681489252426235,-15.222409241604804,0.5702498065004398,4.486925413197492
cc_align,100,gov,25,gov,56.610789849760074,-944.9100740624209,999.9999987574594,929.1542948125851,-999.9999476517802,0.9318960473968281,0.9345529233170625
cc_align,100,gov,50,flores,106.07951196798044,-133.14157074616784,-125.14206468364262,25.608576142177586,-24.194461704086958,1.0340556857286048e-08,11.120082060230784
cc_align,100,gov,50,bible,19.50279157889664,-24.236293186870743,-14.640234204657201,-3.4394849393917997,7.995507271496072,2.115860243142156e-09,1.6075030166482416
cc_align,100,gov,50,gov,-131.70772741530806,291.0585954118464,377.8338173907648,-189.13605462297656,122.26979654076099,3.46194038140329e-12,21.06273202557307
cc_align,100,bible,1,flores,244.29598514541058,-999.9999999968683,970.6782717888644,57.70089267162044,-56.16778766008891,0.30643034819329007,4.260124052651144
cc_align,100,bible,1,bible,149.182944658567,-942.4120046630835,999.9999999998932,423.2342096494543,-465.62056177658116,1.5163505442234368,2.919837393591518
cc_align,100,bible,1,gov,240.96773394650359,-999.9999999716596,971.3223947051862,70.86513289197573,-72.28567532112228,0.2159184111931517,4.1749737147859785
cc_align,100,bible,10,flores,244.32947521472926,-999.9999999999997,943.5953667879127,88.34137486037248,-84.44603076361474,0.2534731007197386,4.1259728895849355
cc_align,100,bible,10,bible,110.2451668870595,-881.2370441840085,999.9999999576393,513.7305645387636,-569.2077395294111,1.5329095350798783,2.5411362893054736
cc_align,100,bible,10,gov,230.0435553763404,-999.9999999999999,946.600766996293,145.55299493357106,-147.26333091765164,0.38238712551487913,3.8660087159243406
cc_align,100,bible,25,flores,242.56066500778533,-999.9999999999999,931.637856288543,107.95193058472007,-102.93509193516623,0.2800536914029729,4.047071109240257
cc_align,100,bible,25,bible,123.83628206949943,-869.3477530284923,999.99999999246,447.24450385715073,-500.9902421777764,1.481655854068159,2.759774297251763
cc_align,100,bible,25,gov,231.77711362103867,-999.9999999999948,946.6115593658694,136.85692758436323,-135.79431752983683,0.3808560982719239,3.916049980002548
gov,25,bible,1,flores,245.7132161864641,-999.9999999999978,936.7745910433806,85.80572440180799,-84.49326020088981,0.10949359265640785,3.914671033235071
gov,25,bible,1,bible,160.93498017481258,-980.9725652920042,999.9999999938746,452.46831871762265,-496.5428355505941,1.0512797553502446,2.5547701501191864
gov,25,bible,1,gov,243.91360719802256,-999.9999999999185,936.7431844309677,94.66231818953138,-94.16984621622579,0.11389960912110336,3.644872623771628
gov,25,bible,10,flores,235.78022493306872,-999.999999999991,882.0467193726065,190.29780621670696,-192.18854989495674,0.08256226431064999,1.8688063132757649
gov,25,bible,10,bible,110.76945607891139,-902.8647700615167,999.9999998550445,560.4949966645892,-622.5718695446927,1.3563808788590388,2.2360910848687507
gov,25,bible,10,gov,194.6384118047511,-999.9999999999997,884.4697827405085,372.6192620344313,-377.92449278292673,0.2932854441985811,2.8212944974822696
gov,25,bible,25,flores,236.17425258925945,-999.9999999999476,866.4520984542321,202.91024155335046,-202.2222595443405,0.06898523490326525,1.690548481181579
gov,25,bible,25,bible,135.47535622131429,-884.3854151078749,999.9999999979884,426.4491434964408,-478.9429374570234,1.4443080072165915,2.8234889954648934
gov,25,bible,25,gov,201.81034174401947,-999.999999998589,878.4089714357792,345.10482935712474,-344.2999116390672,0.59368649835302,3.034835939058777
gov,1,bible,1,flores,239.72828639355558,-999.9999999999999,942.6606095350567,104.39232758233666,-103.93354497856261,0.3848162698622136,4.0587978263376465
gov,1,bible,1,bible,151.60397539071693,-975.8206067571439,999.9999999999992,471.4337849185312,-512.6604219567066,1.8740347210316881,2.977349999015645
gov,1,bible,1,gov,219.78116188657197,-999.9999999999999,926.0222536686402,212.45203854220375,-215.04092992479988,0.517881121091382,3.5890355230070616
gov,1,bible,10,flores,222.79296353552317,-999.9999999991788,891.9302425740067,236.68017284736354,-241.34022187183567,0.3474092778597817,3.440689511545189
gov,1,bible,10,bible,108.0073089121895,-918.7778033458571,999.9999997410351,600.4415972524001,-661.9290034600733,1.9295887848287856,2.5338182880949063
gov,1,bible,10,gov,181.07671978662032,-999.9999999970074,890.0039243028705,426.7194467512991,-429.7687616191428,1.1692369243246965,2.8769651992003125
gov,1,bible,25,flores,230.3468947731507,-999.9999999999999,884.4787812829933,210.11029119786306,-210.933394505459,0.2920279227424828,3.566258274332065
gov,1,bible,25,bible,113.4070214583697,-901.5413953241035,999.9999999321157,557.2464361448135,-615.0994324289504,1.6817500258397151,2.487719631407577
gov,1,bible,25,gov,194.5278838912387,-999.9999999999999,899.1884462278241,357.09759678068053,-353.3840643376439,1.5323172643924212,3.3636773175211228
gov,10,bible,1,flores,240.96391852915417,-999.9999999999999,932.354263881424,111.93981336884895,-112.96262258242956,0.17938575948790522,3.9863668035870026
gov,10,bible,1,bible,168.01844090862215,-992.2858598074533,999.9999999989872,442.5147763662426,-484.9426082907537,1.0278177719043473,2.5927716780308767
