,models,Normality p-value,AIC of centered model,BIC of centered model,R2 coefficient,Homocedasticity Levene p-value,Homocedasticity bartlett p-value
0,linear,,-124.3014130937459,-124.10418851640968,1.0,0.0,
1,poly2,,-115.30770467806109,-115.11048010072487,1.0,0.0,
2,poly3,,-107.04650791373417,-106.84928333639796,1.0,0.0,
3,exp,,-107.8464554930625,-107.64923091572629,1.0,0.0,
4,log,,-113.25182423473339,-113.05459965739718,1.0,0.0,
5,power,,-165.54805986399035,-165.35083528665413,1.0,0.0,
6,mult,,-143.586857905575,-143.38963332823877,1.0,0.0,
7,hybrid_mult,,-121.22201019636798,-121.02478561903176,1.0,0.0,
8,am,,0.6289919334990155,0.8262165108352351,0.9513626059796895,0.0,
9,gm,,2.584848979354162,2.7820735566903814,0.906651013965161,0.0,
10,hm,,3.8779675605887425,4.075192137924962,0.8563493177170709,0.0,
