train set size,test set,c0,"c1,1","c1,2",rmse,kfold rmse
1,flores,1.6957999620106396,1.459874650585756,1.0970574858544002,2.371778516922549,2.408854181607366
1,bible,2.8491153975684496,6.986675142488996,6.830209154711241,8.3725145565727,8.500893457049282
1,gov,-1.2829710595166912,12.176412273587873,13.779050041267713,9.531832632465608,9.67293819961434
10,flores,10.664117598775444,-2.8571362979913535,-6.342144069984237,5.373298180206447,5.460363496911671
10,bible,9.721389332924794,6.654870649762231,4.404692521536717,13.065718503014008,13.26579440354006
10,gov,6.768546558524601,13.115159766728148,12.395457849344158,16.895583742506933,17.151748578201634
25,flores,12.065374463696873,-2.7231720714261716,-6.615178990220195,6.456353459968219,6.56030788711724
25,bible,11.658641966443035,7.24626383931087,4.472938488572988,14.888748548263083,15.118400970969947
25,gov,6.882320616712116,15.205262324253772,14.660542492443774,18.761445395772437,19.045486767179312
50,flores,42.517435574540194,-26.230469837162403,-41.60877111280697,0.4082482905017988,1.9283945959786462
50,bible,9.500654178131299,-6.95239632699852,-10.497824949438247,0.04082482904952693,0.41471193976817133
50,gov,6.791058174173665,39.24946656577935,41.13683940151955,3.5517601270356978,4.927918084080446
