train set size,language to,c0,"c1,1","c1,2",rmse,kfold rmse
1,ka,0.0,0.0,0.0,7.077664398184852,7.077664398184852
1,gu,6.199391527532931,-7.127510360797111e-07,-1.1417703526964171e-10,8.479369613622291,8.163613994439805
1,hi,5.566644820339477,2.7456497789039173e-08,-3.907325984420696e-09,8.4551166838236,8.149851683149913
1,si,5.584784701295102,-4.1789142289626474e-07,-5.475489901446429e-07,9.984528003891898,9.807929680851425
1,ta,4.275847014753732,-0.06334336897022029,-3.607676573114294e-09,8.451905188702959,8.20305949287952
10,ka,9.266658609263287,-1.0283063935144645e-08,-5.295735524954054e-09,12.04597840821939,11.786891506496245
10,gu,11.94692642847632,-5.029983918300811e-09,0.14067038499401882,12.31138804682704,12.06791880533724
10,hi,11.226248982077005,-0.004582889368372478,-9.465773718768954e-09,12.756521302267629,12.530346534669002
10,si,12.474083508963234,-0.3539219386521569,-5.684981980954396e-09,16.898888515259195,16.17805774801855
10,ta,9.482826005581407,-2.0620174580181333e-08,-1.0574430746624402e-08,13.932357745673716,13.708233417416203
25,ka,11.079826993436402,-7.963641489803895e-09,-5.095856386353224e-08,13.583283823200523,13.379748988077674
25,gu,14.004879466129603,-1.201900795204129e-06,-5.6251259522111195e-09,13.6627324420881,13.457482727631449
25,hi,13.044779661143927,-5.24105866661572e-06,-6.2012684119467826e-09,14.219396957105301,14.008738538867155
25,si,14.855521918068609,-1.0845400958272415,-9.617663132320712e-09,18.787883413642856,18.14429736035643
25,ta,11.464421917276919,-0.16745949475166386,-7.529570652760953e-09,15.387130510500027,15.178144724414935
50,hi,17.34465657130359,-0.002611102530999047,-5.218105611257769e-09,13.805824781562633,17.494723304373508
50,si,21.392511782968594,-6.322162562116886,-9.118819116125642e-09,19.403317344985485,26.490915508286523
50,ta,16.82720264091979,-2.3945546475303394,-6.986169652925767e-09,16.309812856751048,21.741646981026793
