train set,train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
gov,1,flores,-300.38172795917825,999.9999999999999,-334.04032604130407,-999.9999999999999,476.54923089185803,-999.9999999999999,538.1420299793143,0.38263821542234844,0.40305446790291793
gov,1,bible,-183.1311457427576,549.1539457804057,-230.5684352341304,-493.3138427085875,188.21210322085267,-212.98363354644056,28.405768813934813,3.980284254255526e-14,5.825459335264781e-14
gov,1,gov,-82.678976157208,928.6638863006073,-295.8878129403599,-901.7147079433181,36.61532929354604,-977.9514777131997,845.9743034990253,7.036436226284398e-13,7.923427685106301e-14
gov,10,flores,-379.96339159777114,999.9999999999999,-348.1487057583444,-999.9999999999998,681.4637619593091,-999.9999999963308,384.7181874976542,1.5925955567216088,1.677570910533544
gov,10,bible,-308.9073863947549,828.248374623751,-330.4167773183829,-770.0391137036102,463.32295602261604,-628.101381001822,209.11563989736504,8.506060485313017e-14,3.4120858303967734e-14
gov,10,gov,70.38592580417324,311.6720832041453,-119.13558338992905,-285.4669638917015,-237.96932519558712,-102.87598044098242,276.662483963674,1.5322043120738604e-14,1.9907880820997404e-14
gov,25,flores,-375.4324083399561,999.9999999840393,-346.08701039237326,-999.9999999645286,677.7604017319275,-999.9999999773833,384.6918884315636,2.0051569879680713,2.1121451611758713
gov,25,bible,-327.0163920615893,887.8491840068529,-321.66892698975266,-867.8342460603421,485.3407676836168,-676.9318466186999,233.85622883440982,4.2187423132410806e-14,5.891601184183227e-14
gov,25,gov,-14.519962040521175,514.3729759395765,-213.30225240150725,-463.41481730121376,-102.78130560867962,-251.56213205572428,319.0869172470412,2.2243506013095566e-14,3.1886542417767275e-12
gov,50,flores,20.178184986051168,9.13289868489204,-13.679660301678874,-25.334271561575854,11.193903089506335,-14.579934535997312,-15.607281043989017,7.387062260375505e-11,5.056576817806515e-09
gov,50,bible,6.433635524462891,-0.014973313548857087,-1.8050612517551046,-2.7643620353441833,-2.0557301975665454,-3.170716992777716,-1.8858186643891999,1.1876987861709438e-10,1.3185808144707557e-08
gov,50,gov,17.275663188177464,-1.450230264995991,-10.401056927570329,-11.382540933219728,18.467882964561596,19.25454556121423,19.524834044555053,9.434725545500952e-09,2.7035455368688603e-08
bible,1,flores,-83.9340892785322,333.6788067180135,-157.38517878414302,-271.7475188317361,53.58478119543022,-118.62844334113213,49.20220461220087,9.772828277664684e-10,0.3492299957402036
bible,1,bible,214.954987303864,242.2258217900183,-134.54017169556334,-137.73343001088602,-505.4938472601266,-208.2653546895322,548.528731307549,5.561980995504132e-11,0.45935399759426715
bible,1,gov,-52.614821689406895,226.80345993322513,-63.75583197511497,-246.5534063178106,1.7342609169949432,-21.72781366585583,-1.0574759676925116,1.671978341072132e-11,0.3032539586481815
bible,10,flores,-219.34818402420868,604.8338722429309,-253.07685517232682,-546.1326061511467,288.4070608342984,-349.1621399302563,85.27908665673787,4.499120333042117e-10,0.8002951003026985
bible,10,bible,298.21801754912235,-195.00048546451572,94.70859094328526,174.31670203925367,-456.3294879665383,-170.69093093641933,522.2681398715281,1.907791931935283e-09,0.14383686210195842
bible,10,gov,-109.17785052154517,551.688364393899,-390.642951312976,-273.51170805811387,-64.75508996272954,104.20482755638965,-94.3602337973417,1.6913933269518908e-09,0.6228443513137616
bible,25,flores,-216.84269153600079,597.4632770809075,-247.26997043812514,-543.2937226036281,274.82115855855756,-312.0004292329691,59.01200906777994,1.2457177288961457e-12,7.886869584325462e-13
bible,25,bible,403.71904779381816,-483.16677271314313,210.75880282015072,444.93254594945773,-534.76531751971,-147.93616873401666,577.5638299362869,7.005245120050312e-14,5.876493426096469e-14
bible,25,gov,-189.57670343745875,576.7754036529705,-242.62076617958186,-518.7423776605629,194.85483115864133,-228.15753193068264,36.07544209274005,2.8308240613143304e-13,8.8632922234028e-14
