model,multi factor,multi variable,overall linear,sliced linear
linear,297.13%,99.72%,99.21%,100.00%
poly2,298.81%,100.28%,99.77%,100.57%
poly3,298.67%,100.23%,99.72%,100.52%
exp,297.00%,99.67%,99.16%,99.96%
log,297.11%,99.71%,99.20%,99.99%
power,296.97%,99.67%,99.16%,99.95%
hmult,296.63%,99.55%,99.04%,99.83%
