model,mean,min,25%,50%,75%,max
linear,13.52221401068117,12.237352840690155,12.879783425685662,13.52221401068117,14.164644595676677,14.807075180672184
poly2,13.51921667417416,12.236281839096437,12.877749256635298,13.51921667417416,14.160684091713021,14.802151509251882
poly3,13.519488998808846,12.236313965851172,12.87790148233001,13.519488998808846,14.161076515287684,14.802664031766522
exp,13.391181795389834,12.076281626099131,12.733731710744483,13.391181795389834,14.048631880035183,14.706081964680534
log,13.514759081887632,12.234520864237313,12.874639973062472,13.514759081887632,14.154878190712791,14.79499729953795
power,13.440516603040397,12.164923725073695,12.802720164057046,13.440516603040397,14.078313042023746,14.716109481007097
hybrid_mult,13.725891573903638,12.31981059624621,13.022851085074924,13.725891573903638,14.428932062732354,15.131972551561068
