model,pareto,rawlsian,gov,bible
linear,False,False,14.477819466158786,12.034077422558656
poly2,False,False,14.477819548847265,12.034077115334604
poly3,False,False,14.477819806356468,12.034076810258906
exp,False,False,14.477820592560088,12.03407848679428
log,False,False,14.477819483692128,12.034077402760731
power,True,True,14.477818893538563,12.034076195863086
hmult,True,False,14.477820173136696,12.03125467128407
