model,multi factor,multi variable,overall linear,sliced linear
linear,289.52%,97.16%,96.65%,100.00%
poly2,289.52%,97.16%,96.65%,100.00%
poly3,289.52%,97.16%,96.65%,100.00%
exp,289.52%,97.16%,96.65%,100.00%
log,289.52%,97.16%,96.65%,100.00%
power,289.52%,97.16%,96.65%,100.00%
hmult,289.49%,97.15%,96.64%,99.99%
