model,none,train,test,train+test
linear,13.711480265218228,13.257819289438082,12.050307223095317,4.1970587313480126
poly2,13.711912207010547,13.258344906493118,12.050783555806504,4.197936626251247
poly3,13.71158910653823,13.257347752670729,12.050974246201191,4.198462892582513
exp,13.716515969303847,13.26002656699811,12.050415400204699,4.172824127923872
log,13.714888868229906,13.254420719773076,12.032152925763489,4.105280533597246
power,13.717071149028138,13.25682155516404,12.03925011398679,4.051742190336776
hmult,13.716613227467391,13.255770567734995,12.03960899341817,4.091737690754679
