train set size,test set,c0,"c1,1","c1,2","c1,3","c2,1","c2,2","c2,3",rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,2.9448446325026696,-0.0005938944598229249,-5.695189512832281e-07,0.0011811209701642793,1.8590335493829602,0.881271612694056,-1.3243259834056392e-07,9.108972498266661,9.208210947485295
1,gov,3.7491464101690926,0.0004849623716773557,-1.0790091987540745e-05,-0.000216139161078763,2.5633644890079013,1.310202485036969,4.893622891365179e-09,10.00249882311404,9.800174474645043
10,flores,1.355896748183422,0.015557176663229784,0.1657587963990992,-2.6077072676118186e-09,1.1615133642003472,0.9865685460568594,0.8291185307460753,6.228405071360874,5.882042447587731
10,bible,6.324675862158963,0.0005549161347155679,0.047380517054812187,-6.190444822621852e-05,4.047030385685624,1.887570864678512,9.698691166569885e-10,13.463844783117327,14.137510792293874
10,gov,5.54173286979293,3.5794604967518216e-05,-0.000168182529998687,-4.656346934478047e-09,4.498929577104692,3.560403370454389,2.7157261585135846,17.260648232806332,17.067164511755536
25,flores,1.7916423445994838,-1.3658595455195333e-09,0.3163287628804508,-0.03560421510863577,1.5366917866914007,1.3072354883923196,1.1007254327016556,7.234748720286023,6.747182699325432
25,bible,9.2342829934126,5.087589474353473e-07,-3.597079757649514e-06,0.03578856470416306,5.343777898945894,0.243587654835644,-3.682012620567092e-09,15.160689721445388,15.436215811933325
25,gov,5.948954126789184,0.00025644285852413265,-4.1627582409562204e-07,-4.194047327661545e-09,5.010664698366047,4.166185111005095,3.4062620965097032,19.133709848746125,18.92016860616699
50,flores,4.305165039120848,0.0017329333895445785,5.4122794006929286e-11,1.539803680800464e-06,3.4383328398498207,2.658170653404459,1.95603813699846,4.732572028654394,3.9889424344413067
50,bible,-3.71593021447485e-18,-1.6188634142168077e-17,-2.221438875623027e-17,-2.5128681038598446e-17,-5.536736019567527e-18,-7.175460749089623e-18,-8.650313253190165e-18,2.335950912726264,2.335950912726264
50,gov,15.017821730806471,-6.223222922378818e-10,-0.08493686224582819,0.8104413713758455,12.062390275631893,9.402514599190317,7.008630374875454,6.548234898578524,5.794273443435102
