model,multi factor,multi variable,overall linear,sliced linear
linear,282.38%,94.77%,94.34%,100.00%
poly2,285.36%,95.77%,95.33%,101.06%
poly3,286.67%,96.21%,95.77%,101.52%
exp,282.19%,94.70%,94.27%,99.93%
log,282.36%,94.76%,94.33%,99.99%
power,282.20%,94.71%,94.28%,99.94%
hmult,281.33%,94.41%,93.98%,99.63%
