,best min inits,best min rmse,best mean inits,best mean rmse,best max inits,best max rmse
simple,[0.0],0.04082482904640179,[0.0],1.629497089255488,[1.0],5.51135192126217
kfold,[-0.5],0.2077897729510404,[1.0],1.9656421082477569,[1.0],6.235491850792944
