language to,c0,"c1,1","c1,2","c1,3","c2,1","c2,2",rmse,kfold rmse
ka,13.870538732899794,11.948807223652611,-1.41857398133989,0.0387847940761678,-41.44370599658426,-27.143777642329667,4.06562329690235,4.12740887292835
gu,17.113962634625775,14.745929081177444,-1.796738128675249,0.04950264362800466,-43.07467155638509,-30.22017804836472,4.409126383071595,4.480913675131263
hi,33.87013113946338,-0.7298502009547613,0.042116820170221836,-0.0005302628515989407,-39.26420356693604,-27.652783859571926,4.977617567658604,5.71472832863253
si,27.84157380708307,2.5002971902528413,-0.10973571388475507,0.0013456894707852894,-53.45415430748782,-37.0053217206727,6.826172653458321,6.655209624231048
ta,22.138525959211194,1.9984697459730565,-0.08672012486103418,0.001063836780537879,-43.09999135698434,-29.192879912007868,5.453622949364812,5.827073656663978
