model,multi factor,multi variable,overall linear,sliced linear
linear,67.61%,66.46%,66.69%,100.00%
poly2,67.68%,66.53%,66.76%,100.11%
poly3,67.61%,66.46%,66.69%,100.00%
exp,96.05%,94.41%,94.74%,142.06%
log,67.06%,65.92%,66.15%,99.19%
power,71.90%,70.68%,70.93%,106.35%
hmult,69.92%,68.73%,68.97%,103.41%
