train set size,test set,c0,c1,c2,c3,rmse,kfold rmse
1,flores,0.0,0.0,0.0,0.0,3.7177950454536886,3.7177950454536886
1,bible,6.9850352953088155,-7.28918724321149e-10,0.013569361104141843,-0.0035796468503097455,8.621224815455141,9.20242691954174
1,gov,7.390672711790853,0.0003559044936636608,-2.3002538929701826e-09,-0.00013636217920827241,9.944574337890652,9.872264991430894
10,flores,4.601684191586994,6.69871488952246e-08,2.5422752325866875e-08,-3.3711255936817322e-09,5.928550950984866,5.717995703424478
10,bible,12.03633157715623,8.958441658292048e-05,0.0009148701115676875,-4.073863911258763e-09,13.374917425711578,13.656956905123357
10,gov,15.43323054621144,-0.0002474888069588704,-1.2560892866093495e-09,-0.0028335267913133662,17.144207069367212,16.946141338328278
25,flores,5.977927885040009,0.0002525807709836007,9.482422239223978e-10,-0.0005294635342542508,6.930744262323076,6.722291923976572
25,bible,14.37256454137921,0.014039894981534776,2.1474995320250536e-09,0.04234080602772504,15.15120937516598,15.518006686680291
25,gov,17.527721543799636,-3.1692327036175865e-12,-3.337744514880263e-07,-2.8335234116076684e-08,18.989720858093275,18.81754557330461
50,flores,11.703852266027994,-3.749017655511315e-09,0.005502553710083542,-0.006455888686299261,4.232437237364055,3.7730712361315857
50,bible,0.0,0.0,0.0,0.0,2.335950912726264,2.335950912726264
50,gov,39.402075241494245,-2.5432831886782376e-09,-0.366453808369709,0.12569654555024698,6.1607338242062815,5.244766493614583
