model,mean,min,25%,50%,75%,max
linear,4.742228402299356,4.742228402299356,4.742228402299356,4.742228402299356,4.742228402299356,4.742228402299356
poly2,4.831606652777067,4.831606652777067,4.831606652777067,4.831606652777067,4.831606652777067,4.831606652777067
poly3,7.346549346872154,7.346549346872154,7.346549346872154,7.346549346872154,7.346549346872154,7.346549346872154
exp,4.48050254958587,4.48050254958587,4.48050254958587,4.48050254958587,4.48050254958587,4.48050254958587
log,4.822615165692637,4.822615165692637,4.822615165692637,4.822615165692637,4.822615165692637,4.822615165692637
power,7.003561286750312,7.003561286750312,7.003561286750312,7.003561286750312,7.003561286750312,7.003561286750312
mult,5.71340307864496,5.71340307864496,5.71340307864496,5.71340307864496,5.71340307864496,5.71340307864496
hmult,4.8313766737788,4.8313766737788,4.8313766737788,4.8313766737788,4.8313766737788,4.8313766737788
am,13.28006994341801,13.28006994341801,13.28006994341801,13.28006994341801,13.28006994341801,13.28006994341801
gm,13.565522198793005,13.565522198793005,13.565522198793005,13.565522198793005,13.565522198793005,13.565522198793005
hm,7.698538668584365,7.698538668584365,7.698538668584365,7.698538668584365,7.698538668584365,7.698538668584365
